Transaction_ID,Payment_Method
TXN00216,Bank Transfer
TXN00217,Cash
TXN00218,Cash
TXN00219,Cash
TXN00220,Bank Transfer
TXN00221,Cash
TXN00222,Bank Transfer
TXN00223,Credit Card
TXN00224,Bank Transfer
TXN00225,Cash
TXN00226,Bank Transfer
TXN00227,Bank Transfer
TXN00228,Cash
TXN00229,Bank Transfer
TXN00230,Credit Card
TXN00231,Credit Card
TXN00232,Credit Card
TXN00233,Cash
TXN00234,Credit Card
TXN00235,Bank Transfer
TXN00236,Cash
TXN00237,Cash
TXN00238,Cash
TXN00239,Bank Transfer
TXN00240,Bank Transfer
TXN00241,Cash
TXN00242,Bank Transfer
TXN00243,Bank Transfer
TXN00244,Credit Card
TXN00245,Credit Card
TXN00246,Cash
TXN00247,Credit Card
TXN00248,Credit Card
TXN00249,Cash
TXN00250,Cash
TXN00251,Credit Card
TXN00252,Cash
TXN00253,Bank Transfer
TXN00254,Bank Transfer
TXN00255,Cash
TXN00256,Credit Card
TXN00257,Bank Transfer
TXN00258,Bank Transfer
TXN00259,Cash
TXN00260,Credit Card
TXN00261,Bank Transfer
TXN00262,Cash
TXN00263,Credit Card
TXN00264,Bank Transfer
TXN00265,Bank Transfer
TXN00266,Cash
TXN00267,Cash
TXN00268,Bank Transfer
TXN00269,Cash
TXN00270,Cash
TXN00271,Bank Transfer
TXN00272,Cash
TXN00273,Bank Transfer
TXN00274,Credit Card
TXN00275,Bank Transfer
TXN00276,Credit Card
TXN00277,Cash
TXN00278,Cash
TXN00279,Bank Transfer
TXN00280,Credit Card
TXN00281,Bank Transfer
TXN00282,Credit Card
TXN00283,Credit Card
TXN00284,Cash
TXN00285,Bank Transfer
TXN00286,Cash
TXN00287,Cash
TXN00288,Bank Transfer
TXN00289,Credit Card
TXN00290,Credit Card
TXN00291,Bank Transfer
TXN00292,Bank Transfer
TXN00293,Credit Card
TXN00294,Cash
TXN00295,Cash
TXN00296,Cash
TXN00297,Cash
TXN00298,Bank Transfer
TXN00299,Bank Transfer
TXN00300,Credit Card
TXN00301,Bank Transfer
TXN00302,Credit Card
TXN00303,Credit Card
TXN00304,Bank Transfer
TXN00305,Cash
TXN00306,Cash
TXN00307,Credit Card
TXN00308,Credit Card
TXN00309,Cash
TXN00310,Credit Card
TXN00311,Cash
TXN00312,Bank Transfer
TXN00313,Cash
TXN00314,Credit Card
TXN00315,Credit Card
TXN00316,Credit Card
TXN00317,Bank Transfer
TXN00318,Credit Card
TXN00319,Bank Transfer
TXN00320,Cash
TXN00321,Cash
TXN00322,Bank Transfer
TXN00323,Credit Card
TXN00324,Cash
TXN00325,Bank Transfer
TXN00326,Cash
TXN00327,Credit Card
TXN00328,Credit Card
TXN00329,Bank Transfer
TXN00330,Credit Card
TXN00331,Credit Card
TXN00332,Bank Transfer
TXN00333,Credit Card
TXN00334,Bank Transfer
TXN00335,Cash
TXN00336,Credit Card
TXN00337,Bank Transfer
TXN00338,Cash
TXN00339,Cash
TXN00340,Cash
TXN00341,Cash
TXN00342,Credit Card
TXN00343,Cash
TXN00344,Credit Card
TXN00345,Credit Card
TXN00346,Cash
TXN00347,Bank Transfer
TXN00348,Bank Transfer
TXN00349,Cash
TXN00350,Credit Card
TXN00351,Cash
TXN00352,Credit Card
TXN00353,Credit Card
TXN00354,Credit Card
TXN00355,Bank Transfer
TXN00356,Credit Card
TXN00357,Cash
TXN00358,Bank Transfer
TXN00359,Credit Card
TXN00360,Credit Card
TXN00361,Credit Card
TXN00362,Bank Transfer
TXN00363,Credit Card
TXN00364,Credit Card
TXN00365,Bank Transfer
TXN00366,Cash
TXN00367,Cash
TXN00368,Bank Transfer
TXN00369,Bank Transfer
TXN00370,Bank Transfer
TXN00371,Cash
TXN00372,Cash
TXN00373,Credit Card
TXN00374,Credit Card
TXN00375,Bank Transfer
TXN00376,Cash
TXN00377,Cash
TXN00378,Credit Card
TXN00379,Bank Transfer
TXN00380,Credit Card
TXN00381,Credit Card
TXN00382,Cash
TXN00383,Cash
TXN00384,Cash
TXN00385,Cash
TXN00386,Credit Card
TXN00387,Cash
TXN00388,Credit Card
TXN00389,Cash
TXN00390,Credit Card
TXN00391,Credit Card
TXN00392,Credit Card
TXN00393,Cash
TXN00394,Cash
TXN00395,Cash
TXN00396,Cash
TXN00397,Credit Card
TXN00398,Credit Card
TXN00399,Bank Transfer
TXN00400,Credit Card
TXN00401,Cash
TXN00402,Bank Transfer
TXN00403,Credit Card
TXN00404,Cash
TXN00405,Cash
TXN00406,Bank Transfer
TXN00407,Credit Card
TXN00408,Cash
TXN00409,Bank Transfer
TXN00410,Bank Transfer
TXN00411,Credit Card
TXN00412,Cash
TXN00413,Credit Card
TXN00414,Bank Transfer
TXN00415,Bank Transfer
TXN00416,Bank Transfer
TXN00417,Bank Transfer
TXN00418,Cash
TXN00419,Credit Card
TXN00420,Cash
TXN00421,Credit Card
TXN00422,Bank Transfer
TXN00423,Credit Card
TXN00424,Credit Card
TXN00425,Credit Card
TXN00426,Credit Card
TXN00427,Credit Card
TXN00428,Credit Card
TXN00429,Cash
TXN00430,Credit Card
TXN00431,Bank Transfer
TXN00432,Cash
TXN00433,Credit Card
TXN00434,Bank Transfer
TXN00435,Cash
TXN00436,Cash
TXN00437,Cash
TXN00438,Credit Card
TXN00439,Bank Transfer
TXN00440,Cash
TXN00441,Bank Transfer
TXN00442,Credit Card
TXN00443,Credit Card
TXN00444,Cash
TXN00445,Credit Card
TXN00446,Credit Card
TXN00447,Cash
TXN00448,Cash
TXN00449,Cash
TXN00450,Bank Transfer
TXN00451,Bank Transfer
TXN00452,Credit Card
TXN00453,Cash
TXN00454,Bank Transfer
TXN00455,Credit Card
TXN00456,Cash
TXN00457,Cash
TXN00458,Credit Card
TXN00459,Cash
TXN00460,Cash
TXN00461,Credit Card
TXN00462,Bank Transfer
TXN00463,Credit Card
TXN00464,Credit Card
TXN00465,Bank Transfer
TXN00466,Cash
TXN00467,Credit Card
TXN00468,Credit Card
TXN00469,Credit Card
TXN00470,Cash
TXN00471,Cash
TXN00472,Bank Transfer
TXN00473,Credit Card
TXN00474,Credit Card
TXN00475,Credit Card
TXN00476,Bank Transfer
TXN00477,Bank Transfer
TXN00478,Cash
TXN00479,Cash
TXN00480,Credit Card
TXN00481,Bank Transfer
TXN00482,Cash
TXN00483,Credit Card
TXN00484,Bank Transfer
TXN00485,Credit Card
TXN00486,Cash
TXN00487,Cash
TXN00488,Cash
TXN00489,Bank Transfer
TXN00490,Credit Card
TXN00491,Credit Card
TXN00492,Bank Transfer
TXN00493,Credit Card
TXN00494,Bank Transfer
TXN00495,Bank Transfer
TXN00496,Credit Card
TXN00497,Bank Transfer
TXN00498,Cash
TXN00499,Bank Transfer
TXN00500,Cash
TXN00501,Credit Card
TXN00502,Cash
TXN00503,Credit Card
TXN00504,Credit Card
TXN00505,Cash
TXN00506,Bank Transfer
TXN00507,Credit Card
TXN00508,Credit Card
TXN00509,Cash
TXN00510,Bank Transfer
TXN00511,Cash
TXN00512,Credit Card
TXN00513,Bank Transfer
TXN00514,Cash
TXN00515,Cash
TXN00516,Credit Card
TXN00517,Cash
TXN00518,Bank Transfer
TXN00519,Cash
TXN00520,Credit Card
TXN00521,Cash
TXN00522,Bank Transfer
TXN00523,Cash
TXN00524,Credit Card
TXN00525,Bank Transfer
TXN00526,Credit Card
TXN00527,Cash
TXN00528,Credit Card
TXN00529,Bank Transfer
TXN00530,Bank Transfer
TXN00531,Cash
TXN00532,Bank Transfer
TXN00533,Bank Transfer
TXN00534,Bank Transfer
TXN00535,Bank Transfer
TXN00536,Credit Card
TXN00537,Cash
TXN00538,Cash
TXN00539,Credit Card
TXN00540,Cash
TXN00541,Credit Card
TXN00542,Bank Transfer
TXN00543,Cash
TXN00544,Cash
TXN00545,Bank Transfer
TXN00546,Bank Transfer
TXN00547,Credit Card
TXN00548,Cash
TXN00549,Cash
TXN00550,Credit Card
TXN00551,Bank Transfer
TXN00552,Cash
TXN00553,Credit Card
TXN00554,Credit Card
TXN00555,Credit Card
TXN00556,Cash
TXN00557,Credit Card
TXN00558,Credit Card
TXN00559,Bank Transfer
TXN00560,Bank Transfer
TXN00561,Credit Card
TXN00562,Credit Card
TXN00563,Credit Card
TXN00564,Bank Transfer
TXN00565,Bank Transfer
TXN00566,Bank Transfer
TXN00567,Cash
TXN00568,Credit Card
TXN00569,Bank Transfer
TXN00570,Credit Card
TXN00571,Credit Card
TXN00572,Cash
TXN00573,Credit Card
TXN00574,Bank Transfer
TXN00575,Cash
TXN00576,Cash
TXN00577,Credit Card
TXN00578,Credit Card
TXN00579,Cash
TXN00580,Cash
TXN00581,Credit Card
TXN00582,Cash
TXN00583,Cash
TXN00584,Cash
TXN00585,Bank Transfer
TXN00586,Bank Transfer
TXN00587,Bank Transfer
TXN00588,Cash
TXN00589,Bank Transfer
TXN00590,Cash
TXN00591,Bank Transfer
TXN00592,Bank Transfer
TXN00593,Bank Transfer
TXN00594,Credit Card
TXN00595,Credit Card
TXN00596,Cash
TXN00597,Credit Card
TXN00598,Bank Transfer
TXN00599,Credit Card
TXN00600,Cash
TXN00601,Cash
TXN00602,Bank Transfer
TXN00603,Credit Card
TXN00604,Bank Transfer
TXN00605,Bank Transfer
TXN00606,Credit Card
TXN00607,Credit Card
TXN00608,Credit Card
TXN00609,Credit Card
TXN00610,Credit Card
TXN00611,Credit Card
TXN00612,Credit Card
TXN00613,Bank Transfer
TXN00614,Cash
TXN00615,Credit Card
TXN00616,Bank Transfer
TXN00617,Credit Card
TXN00618,Bank Transfer
TXN00619,Credit Card
TXN00620,Credit Card
TXN00621,Cash
TXN00622,Credit Card
TXN00623,Cash
TXN00624,Bank Transfer
TXN00625,Cash
TXN00626,Cash
TXN00627,Cash
TXN00628,Cash
TXN00629,Credit Card
TXN00630,Credit Card
TXN00631,Credit Card
TXN00632,Credit Card
TXN00633,Credit Card
TXN00634,Cash
TXN00635,Credit Card
TXN00636,Cash
TXN00637,Credit Card
TXN00638,Cash
TXN00639,Bank Transfer
TXN00640,Credit Card
TXN00641,Cash
TXN00642,Cash
TXN00643,Credit Card
TXN00644,Bank Transfer
TXN00645,Cash
TXN00646,Credit Card
TXN00647,Bank Transfer
TXN00648,Credit Card
TXN00649,Cash
TXN00650,Credit Card
TXN00651,Credit Card
TXN00652,Bank Transfer
TXN00653,Bank Transfer
TXN00654,Credit Card
TXN00655,Credit Card
TXN00656,Credit Card
TXN00657,Credit Card
TXN00658,Cash
TXN00659,Credit Card
TXN00660,Credit Card
TXN00661,Bank Transfer
TXN00662,Credit Card
TXN00663,Bank Transfer
TXN00664,Bank Transfer
TXN00665,Credit Card
TXN00666,Credit Card
TXN00667,Credit Card
TXN00668,Credit Card
TXN00669,Bank Transfer
TXN00670,Credit Card
TXN00671,Cash
TXN00672,Credit Card
TXN00673,Credit Card
TXN00674,Bank Transfer
TXN00675,Credit Card
TXN00676,Bank Transfer
TXN00677,Bank Transfer
TXN00678,Credit Card
TXN00679,Credit Card
TXN00680,Bank Transfer
TXN00681,Cash
TXN00682,Bank Transfer
TXN00683,Bank Transfer
TXN00684,Cash
TXN00685,Cash
TXN00686,Bank Transfer
TXN00687,Bank Transfer
TXN00688,Cash
TXN00689,Cash
TXN00690,Bank Transfer
TXN00691,Cash
TXN00692,Credit Card
TXN00693,Cash
TXN00694,Bank Transfer
TXN00695,Credit Card
TXN00696,Credit Card
TXN00697,Credit Card
TXN00698,Credit Card
TXN00699,Cash
TXN00700,Cash
TXN00701,Bank Transfer
TXN00702,Bank Transfer
TXN00703,Cash
TXN00704,Credit Card
TXN00705,Cash
TXN00706,Credit Card
TXN00707,Credit Card
TXN00708,Bank Transfer
TXN00709,Cash
TXN00710,Credit Card
TXN00711,Cash
TXN00712,Cash
TXN00713,Credit Card
TXN00714,Credit Card
TXN00715,Bank Transfer
TXN00716,Credit Card
TXN00717,Bank Transfer
TXN00718,Bank Transfer
TXN00719,Cash
TXN00720,Bank Transfer
TXN00721,Credit Card
TXN00722,Credit Card
TXN00723,Bank Transfer
TXN00724,Cash
TXN00725,Cash
TXN00726,Cash
TXN00727,Bank Transfer
TXN00728,Bank Transfer
TXN00729,Credit Card
TXN00730,Credit Card
TXN00731,Bank Transfer
TXN00732,Cash
TXN00733,Cash
TXN00734,Bank Transfer
TXN00735,Bank Transfer
TXN00736,Bank Transfer
TXN00737,Cash
TXN00738,Bank Transfer
TXN00739,Credit Card
TXN00740,Cash
TXN00741,Cash
TXN00742,Credit Card
TXN00743,Credit Card
TXN00744,Bank Transfer
TXN00745,Bank Transfer
TXN00746,Cash
TXN00747,Cash
TXN00748,Cash
TXN00749,Cash
TXN00750,Cash
TXN00751,Cash
TXN00752,Cash
TXN00753,Credit Card
TXN00754,Credit Card
TXN00755,Bank Transfer
TXN00756,Bank Transfer
TXN00757,Cash
TXN00758,Bank Transfer
TXN00759,Cash
TXN00760,Credit Card
TXN00761,Cash
TXN00762,Bank Transfer
TXN00763,Cash
TXN00764,Credit Card
TXN00765,Credit Card
TXN00766,Credit Card
TXN00767,Credit Card
TXN00768,Bank Transfer
TXN00769,Credit Card
TXN00770,Cash
TXN00771,Credit Card
TXN00772,Credit Card
TXN00773,Credit Card
TXN00774,Credit Card
TXN00775,Bank Transfer
TXN00776,Cash
TXN00777,Cash
TXN00778,Cash
TXN00779,Credit Card
TXN00780,Cash
TXN00781,Credit Card
TXN00782,Cash
TXN00783,Bank Transfer
TXN00784,Credit Card
TXN00785,Cash
TXN00786,Credit Card
TXN00787,Cash
TXN00788,Cash
TXN00789,Credit Card
TXN00790,Credit Card
TXN00791,Cash
TXN00792,Cash
TXN00793,Credit Card
TXN00794,Cash
TXN00795,Bank Transfer
TXN00796,Cash
TXN00797,Cash
TXN00798,Bank Transfer
TXN00799,Cash
TXN00800,Credit Card
TXN00801,Cash
TXN00802,Bank Transfer
TXN00803,Credit Card
TXN00804,Credit Card
TXN00805,Credit Card
TXN00806,Cash
TXN00807,Cash
TXN00808,Credit Card
TXN00809,Bank Transfer
TXN00810,Cash
TXN00811,Cash
TXN00812,Cash
TXN00813,Bank Transfer
TXN00814,Credit Card
TXN00815,Cash
TXN00816,Bank Transfer
TXN00817,Cash
TXN00818,Bank Transfer
TXN00819,Cash
TXN00820,Bank Transfer
TXN00821,Bank Transfer
TXN00822,Cash
TXN00823,Bank Transfer
TXN00824,Cash
TXN00825,Cash
TXN00826,Bank Transfer
TXN00827,Credit Card
TXN00828,Credit Card
TXN00829,Credit Card
TXN00830,Bank Transfer
TXN00831,Credit Card
TXN00832,Credit Card
TXN00833,Credit Card
TXN00834,Cash
TXN00835,Bank Transfer
TXN00836,Cash
TXN00837,Cash
TXN00838,Credit Card
TXN00839,Bank Transfer
TXN00840,Bank Transfer
TXN00841,Bank Transfer
TXN00842,Credit Card
TXN00843,Bank Transfer
TXN00844,Credit Card
TXN00845,Bank Transfer
TXN00846,Bank Transfer
TXN00847,Bank Transfer
TXN00848,Cash
TXN00849,Credit Card
TXN00850,Credit Card
TXN00851,Bank Transfer
TXN00852,Credit Card
TXN00853,Credit Card
TXN00854,Credit Card
TXN00855,Credit Card
TXN00856,Bank Transfer
TXN00857,Bank Transfer
TXN00858,Cash
TXN00859,Cash
TXN00860,Bank Transfer
TXN00861,Credit Card
TXN00862,Credit Card
TXN00863,Cash
TXN00864,Cash
TXN00865,Cash
TXN00866,Credit Card
TXN00867,Bank Transfer
TXN00868,Credit Card
TXN00869,Credit Card
TXN00870,Credit Card
TXN00871,Credit Card
TXN00872,Bank Transfer
TXN00873,Bank Transfer
TXN00874,Bank Transfer
TXN00875,Credit Card
TXN00876,Cash
TXN00877,Credit Card
TXN00878,Credit Card
TXN00879,Bank Transfer
TXN00880,Bank Transfer
TXN00881,Cash
TXN00882,Cash
TXN00883,Bank Transfer
TXN00884,Cash
TXN00885,Bank Transfer
TXN00886,Cash
TXN00887,Credit Card
TXN00888,Cash
TXN00889,Bank Transfer
TXN00890,Credit Card
TXN00891,Bank Transfer
TXN00892,Cash
TXN00893,Cash
TXN00894,Cash
TXN00895,Cash
TXN00896,Credit Card
TXN00897,Credit Card
TXN00898,Credit Card
TXN00899,Credit Card
TXN00900,Credit Card
TXN00901,Credit Card
TXN00902,Bank Transfer
TXN00903,Bank Transfer
TXN00904,Bank Transfer
TXN00905,Bank Transfer
TXN00906,Credit Card
TXN00907,Bank Transfer
TXN00908,Cash
TXN00909,Cash
TXN00910,Bank Transfer
TXN00911,Bank Transfer
TXN00912,Bank Transfer
TXN00913,Credit Card
TXN00914,Cash
TXN00915,Credit Card
TXN00916,Bank Transfer
TXN00917,Credit Card
TXN00918,Credit Card
TXN00919,Credit Card
TXN00920,Cash
TXN00921,Bank Transfer
TXN00922,Credit Card
TXN00923,Bank Transfer
TXN00924,Cash
TXN00925,Cash
TXN00926,Cash
TXN00927,Credit Card
TXN00928,Cash
TXN00929,Bank Transfer
TXN00930,Cash
TXN00931,Bank Transfer
TXN00932,Credit Card
TXN00933,Cash
TXN00934,Cash
TXN00935,Credit Card
TXN00936,Credit Card
TXN00937,Cash
TXN00938,Cash
TXN00939,Bank Transfer
TXN00940,Cash
TXN00941,Cash
TXN00942,Credit Card
TXN00943,Cash
TXN00944,Cash
TXN00945,Bank Transfer
TXN00946,Bank Transfer
TXN00947,Cash
TXN00948,Credit Card
TXN00949,Credit Card
TXN00950,Credit Card
TXN00951,Cash
TXN00952,Bank Transfer
TXN00953,Credit Card
TXN00954,Credit Card
TXN00955,Credit Card
TXN00956,Cash
TXN00957,Bank Transfer
TXN00958,Bank Transfer
TXN00959,Cash
TXN00960,Bank Transfer
TXN00961,Bank Transfer
TXN00962,Cash
TXN00963,Bank Transfer
TXN00964,Credit Card
TXN00965,Cash
TXN00966,Cash
TXN00967,Bank Transfer
TXN00968,Cash
TXN00969,Cash
TXN00970,Bank Transfer
TXN00971,Cash
TXN00972,Bank Transfer
TXN00973,Bank Transfer
TXN00974,Cash
TXN00975,Bank Transfer
TXN00976,Credit Card
TXN00977,Credit Card
TXN00978,Bank Transfer
TXN00979,Credit Card
TXN00980,Bank Transfer
TXN00981,Cash
TXN00982,Cash
TXN00983,Bank Transfer
TXN00984,Credit Card
TXN00985,Bank Transfer
TXN00986,Bank Transfer
TXN00987,Cash
TXN00988,Cash
TXN00989,Credit Card
TXN00990,Cash
TXN00991,Credit Card
TXN00992,Cash
TXN00993,Bank Transfer
TXN00994,Bank Transfer
TXN00995,Cash
TXN00996,Cash
TXN00997,Bank Transfer
TXN00998,Bank Transfer
TXN00999,Bank Transfer
TXN01000,Cash
TXN01001,Credit Card
TXN01002,Bank Transfer
TXN01003,Credit Card
TXN01004,Bank Transfer
TXN01005,Credit Card
TXN01006,Bank Transfer
TXN01007,Bank Transfer
TXN01008,Credit Card
TXN01009,Cash
TXN01010,Credit Card
TXN01011,Bank Transfer
TXN01012,Bank Transfer
TXN01013,Bank Transfer
TXN01014,Bank Transfer
TXN01015,Credit Card
TXN01016,Cash
TXN01017,Credit Card
TXN01018,Credit Card
TXN01019,Bank Transfer
TXN01020,Bank Transfer
TXN01021,Bank Transfer
TXN01022,Credit Card
TXN01023,Bank Transfer
TXN01024,Bank Transfer
TXN01025,Bank Transfer
TXN01026,Bank Transfer
TXN01027,Credit Card
TXN01028,Credit Card
TXN01029,Bank Transfer
TXN01030,Credit Card
TXN01031,Credit Card
TXN01032,Cash
TXN01033,Bank Transfer
TXN01034,Cash
TXN01035,Cash
TXN01036,Bank Transfer
TXN01037,Bank Transfer
TXN01038,Cash
TXN01039,Cash
TXN01040,Credit Card
TXN01041,Credit Card
TXN01042,Cash
TXN01043,Cash
TXN01044,Credit Card
TXN01045,Cash
TXN01046,Credit Card
TXN01047,Credit Card
TXN01048,Credit Card
TXN01049,Credit Card
TXN01050,Cash
TXN01051,Cash
TXN01052,Credit Card
TXN01053,Bank Transfer
TXN01054,Cash
TXN01055,Credit Card
TXN01056,Credit Card
TXN01057,Credit Card
TXN01058,Bank Transfer
TXN01059,Cash
TXN01060,Cash
TXN01061,Bank Transfer
TXN01062,Cash
TXN01063,Cash
TXN01064,Bank Transfer
TXN01065,Bank Transfer
TXN01066,Credit Card
TXN01067,Cash
TXN01068,Cash
TXN01069,Credit Card
TXN01070,Credit Card
TXN01071,Bank Transfer
TXN01072,Bank Transfer
TXN01073,Credit Card
TXN01074,Credit Card
TXN01075,Cash
TXN01076,Bank Transfer
TXN01077,Cash
TXN01078,Cash
TXN01079,Bank Transfer
TXN01080,Bank Transfer
TXN01081,Credit Card
TXN01082,Bank Transfer
TXN01083,Cash
TXN01084,Cash
TXN01085,Credit Card
TXN01086,Cash
TXN01087,Credit Card
TXN01088,Cash
TXN01089,Cash
TXN01090,Bank Transfer
TXN01091,Bank Transfer
TXN01092,Bank Transfer
TXN01093,Cash
TXN01094,Cash
TXN01095,Cash
TXN01096,Cash
TXN01097,Bank Transfer
TXN01098,Bank Transfer
TXN01099,Cash
TXN01100,Credit Card
TXN01101,Bank Transfer
TXN01102,Cash
TXN01103,Bank Transfer
TXN01104,Credit Card
TXN01105,Cash
TXN01106,Bank Transfer
TXN01107,Credit Card
TXN01108,Cash
TXN01109,Bank Transfer
TXN01110,Bank Transfer
TXN01111,Cash
TXN01112,Bank Transfer
TXN01113,Cash
TXN01114,Credit Card
TXN01115,Credit Card
TXN01116,Cash
TXN01117,Credit Card
TXN01118,Bank Transfer
TXN01119,Cash
TXN01120,Credit Card
TXN01121,Cash
TXN01122,Cash
TXN01123,Credit Card
TXN01124,Bank Transfer
TXN01125,Bank Transfer
TXN01126,Cash
TXN01127,Bank Transfer
TXN01128,Cash
TXN01129,Credit Card
TXN01130,Credit Card
TXN01131,Cash
TXN01132,Cash
TXN01133,Bank Transfer
TXN01134,Cash
TXN01135,Bank Transfer
TXN01136,Bank Transfer
TXN01137,Credit Card
TXN01138,Cash
TXN01139,Bank Transfer
TXN01140,Bank Transfer
TXN01141,Cash
TXN01142,Cash
TXN01143,Cash
TXN01144,Cash
TXN01145,Credit Card
TXN01146,Credit Card
TXN01147,Bank Transfer
TXN01148,Bank Transfer
TXN01149,Cash
TXN01150,Cash
TXN01151,Credit Card
TXN01152,Bank Transfer
TXN01153,Cash
TXN01154,Bank Transfer
TXN01155,Bank Transfer
TXN01156,Bank Transfer
TXN01157,Bank Transfer
TXN01158,Bank Transfer
TXN01159,Cash
TXN01160,Cash
TXN01161,Credit Card
TXN01162,Credit Card
TXN01163,Cash
TXN01164,Credit Card
TXN01165,Cash
TXN01166,Credit Card
TXN01167,Cash
TXN01168,Bank Transfer
TXN01169,Credit Card
TXN01170,Bank Transfer
