Transaction_ID,Risk_Type
TXN00134,None
TXN00135,Error
TXN00136,None
TXN00137,None
TXN00138,None
TXN00139,None
TXN00140,Error
TXN00141,Error
TXN00142,None
TXN00143,None
TXN00144,None
TXN00145,None
TXN00146,None
TXN00147,None
TXN00148,None
TXN00149,None
TXN00150,None
TXN00151,Misstatement
TXN00152,None
TXN00153,None
TXN00154,None
TXN00155,Fraud
TXN00156,None
TXN00157,None
TXN00158,None
TXN00159,None
TXN00160,None
TXN00161,None
TXN00162,None
TXN00163,None
TXN00164,None
TXN00165,None
TXN00166,None
TXN00167,None
TXN00168,None
TXN00169,None
TXN00170,None
TXN00171,None
TXN00172,None
TXN00173,None
TXN00174,None
TXN00175,None
TXN00176,None
TXN00177,None
TXN00178,None
TXN00179,Fraud
TXN00180,None
TXN00181,None
TXN00182,None
TXN00183,Error
TXN00184,Misstatement
TXN00185,None
TXN00186,None
TXN00187,None
TXN00188,None
TXN00189,None
TXN00190,None
TXN00191,None
TXN00192,Misstatement
TXN00193,Misstatement
TXN00194,None
TXN00195,None
TXN00196,None
TXN00197,None
TXN00198,Misstatement
TXN00199,Fraud
TXN00200,None
TXN00201,None
TXN00202,None
TXN00203,None
TXN00204,Error
TXN00205,None
TXN00206,None
TXN00207,None
TXN00208,None
TXN00209,None
TXN00210,None
TXN00211,None
TXN00212,None
TXN00213,None
TXN00214,None
TXN00215,None
TXN00216,None
TXN00217,None
TXN00218,None
TXN00219,None
TXN00220,None
TXN00221,None
TXN00222,None
TXN00223,None
TXN00224,None
TXN00225,None
TXN00226,None
TXN00227,Fraud
TXN00228,None
TXN00229,Fraud
TXN00230,None
TXN00231,None
TXN00232,None
TXN00233,None
TXN00234,None
TXN00235,None
TXN00236,None
TXN00237,None
TXN00238,None
TXN00239,None
TXN00240,None
TXN00241,Fraud
TXN00242,Misstatement
TXN00243,Fraud
TXN00244,None
TXN00245,None
TXN00246,Fraud
TXN00247,None
TXN00248,Error
TXN00249,Fraud
TXN00250,Misstatement
TXN00251,None
TXN00252,None
TXN00253,Misstatement
TXN00254,None
TXN00255,None
TXN00256,None
TXN00257,Misstatement
TXN00258,None
TXN00259,None
TXN00260,None
TXN00261,None
TXN00262,Fraud
TXN00263,None
TXN00264,None
TXN00265,Misstatement
TXN00266,None
TXN00267,None
TXN00268,None
TXN00269,None
TXN00270,None
TXN00271,None
TXN00272,None
TXN00273,Error
TXN00274,Fraud
TXN00275,None
TXN00276,None
TXN00277,None
TXN00278,None
TXN00279,None
TXN00280,None
TXN00281,Fraud
TXN00282,None
TXN00283,None
TXN00284,None
TXN00285,None
TXN00286,None
TXN00287,None
TXN00288,None
TXN00289,None
TXN00290,None
TXN00291,None
TXN00292,None
TXN00293,None
TXN00294,None
TXN00295,None
TXN00296,None
TXN00297,None
TXN00298,None
TXN00299,None
TXN00300,None
TXN00301,None
TXN00302,None
TXN00303,None
TXN00304,None
TXN00305,None
TXN00306,Error
TXN00307,None
TXN00308,None
TXN00309,None
TXN00310,None
TXN00311,None
TXN00312,None
TXN00313,None
TXN00314,Fraud
TXN00315,None
TXN00316,None
TXN00317,None
TXN00318,None
TXN00319,None
TXN00320,None
TXN00321,None
TXN00322,None
TXN00323,None
TXN00324,None
TXN00325,Fraud
TXN00326,None
TXN00327,None
TXN00328,None
TXN00329,None
TXN00330,None
TXN00331,None
TXN00332,None
TXN00333,None
TXN00334,None
TXN00335,None
TXN00336,None
TXN00337,Misstatement
TXN00338,None
TXN00339,None
TXN00340,None
TXN00341,None
TXN00342,None
TXN00343,None
TXN00344,None
TXN00345,None
TXN00346,None
TXN00347,None
TXN00348,None
TXN00349,None
TXN00350,None
TXN00351,None
TXN00352,Fraud
TXN00353,None
TXN00354,None
TXN00355,None
TXN00356,None
TXN00357,None
TXN00358,None
TXN00359,Misstatement
TXN00360,None
TXN00361,None
TXN00362,None
TXN00363,None
TXN00364,None
TXN00365,Error
TXN00366,None
TXN00367,Error
TXN00368,Error
TXN00369,None
TXN00370,None
TXN00371,None
TXN00372,None
TXN00373,None
TXN00374,None
TXN00375,None
TXN00376,None
TXN00377,None
TXN00378,None
TXN00379,None
TXN00380,None
TXN00381,None
TXN00382,None
TXN00383,None
TXN00384,Misstatement
TXN00385,None
TXN00386,None
TXN00387,None
TXN00388,None
TXN00389,None
TXN00390,None
TXN00391,Error
TXN00392,None
TXN00393,None
TXN00394,None
TXN00395,None
TXN00396,Misstatement
TXN00397,Error
TXN00398,None
TXN00399,None
TXN00400,None
TXN00401,None
TXN00402,Error
TXN00403,None
TXN00404,None
TXN00405,None
TXN00406,Misstatement
TXN00407,None
TXN00408,None
TXN00409,Misstatement
TXN00410,None
TXN00411,None
TXN00412,Fraud
TXN00413,Error
TXN00414,None
TXN00415,None
TXN00416,None
TXN00417,None
TXN00418,None
TXN00419,None
TXN00420,None
TXN00421,None
TXN00422,None
TXN00423,None
TXN00424,None
TXN00425,None
TXN00426,None
TXN00427,None
TXN00428,Fraud
TXN00429,None
TXN00430,None
TXN00431,None
TXN00432,None
TXN00433,None
TXN00434,None
TXN00435,None
TXN00436,None
TXN00437,None
TXN00438,None
TXN00439,None
TXN00440,None
TXN00441,None
TXN00442,Error
TXN00443,None
TXN00444,None
TXN00445,None
TXN00446,Fraud
TXN00447,Misstatement
TXN00448,None
TXN00449,None
TXN00450,None
TXN00451,None
TXN00452,None
TXN00453,None
TXN00454,Fraud
TXN00455,None
TXN00456,None
TXN00457,None
TXN00458,None
TXN00459,None
TXN00460,None
TXN00461,None
TXN00462,None
TXN00463,None
TXN00464,None
TXN00465,Error
TXN00466,None
TXN00467,None
TXN00468,Misstatement
TXN00469,None
TXN00470,Misstatement
TXN00471,None
TXN00472,Error
TXN00473,None
TXN00474,Fraud
TXN00475,None
TXN00476,Fraud
TXN00477,None
TXN00478,None
TXN00479,Error
TXN00480,None
TXN00481,None
TXN00482,None
TXN00483,None
TXN00484,None
TXN00485,None
TXN00486,Fraud
TXN00487,None
TXN00488,None
TXN00489,Error
TXN00490,Misstatement
TXN00491,None
TXN00492,None
TXN00493,None
TXN00494,None
TXN00495,None
TXN00496,None
TXN00497,None
TXN00498,None
TXN00499,Fraud
TXN00500,Fraud
TXN00501,None
TXN00502,None
TXN00503,None
TXN00504,None
TXN00505,None
TXN00506,None
TXN00507,Error
TXN00508,None
TXN00509,Fraud
TXN00510,None
TXN00511,None
TXN00512,None
TXN00513,Misstatement
TXN00514,Error
TXN00515,None
TXN00516,None
TXN00517,None
TXN00518,None
TXN00519,Error
TXN00520,None
TXN00521,None
TXN00522,None
TXN00523,Misstatement
TXN00524,None
TXN00525,None
TXN00526,None
TXN00527,None
TXN00528,None
TXN00529,None
TXN00530,Misstatement
TXN00531,None
TXN00532,Misstatement
TXN00533,Error
TXN00534,None
TXN00535,None
TXN00536,Fraud
TXN00537,None
TXN00538,None
TXN00539,None
TXN00540,None
TXN00541,Fraud
TXN00542,None
TXN00543,None
TXN00544,None
TXN00545,None
TXN00546,None
TXN00547,None
TXN00548,None
TXN00549,None
TXN00550,None
TXN00551,None
TXN00552,Fraud
TXN00553,None
TXN00554,None
TXN00555,Error
TXN00556,None
TXN00557,None
TXN00558,None
TXN00559,None
TXN00560,None
TXN00561,None
TXN00562,None
TXN00563,None
TXN00564,None
TXN00565,None
TXN00566,None
TXN00567,None
TXN00568,None
TXN00569,Fraud
TXN00570,None
TXN00571,None
TXN00572,None
TXN00573,None
TXN00574,None
TXN00575,Fraud
TXN00576,Misstatement
TXN00577,None
TXN00578,Fraud
TXN00579,None
TXN00580,None
TXN00581,None
TXN00582,Fraud
TXN00583,None
TXN00584,None
TXN00585,None
TXN00586,None
TXN00587,None
TXN00588,None
TXN00589,None
TXN00590,None
TXN00591,None
TXN00592,None
TXN00593,None
TXN00594,None
TXN00595,Fraud
TXN00596,None
TXN00597,None
TXN00598,None
TXN00599,None
TXN00600,None
TXN00601,None
TXN00602,None
TXN00603,None
TXN00604,None
TXN00605,None
TXN00606,None
TXN00607,None
TXN00608,None
TXN00609,None
TXN00610,None
TXN00611,None
TXN00612,None
TXN00613,None
TXN00614,None
TXN00615,Error
TXN00616,Misstatement
TXN00617,None
TXN00618,None
TXN00619,None
TXN00620,None
TXN00621,None
TXN00622,None
TXN00623,None
TXN00624,None
TXN00625,None
TXN00626,None
TXN00627,None
TXN00628,None
TXN00629,None
TXN00630,None
TXN00631,None
TXN00632,Misstatement
TXN00633,None
TXN00634,None
TXN00635,None
TXN00636,None
TXN00637,None
TXN00638,None
TXN00639,None
TXN00640,None
TXN00641,None
TXN00642,None
TXN00643,None
TXN00644,None
TXN00645,None
TXN00646,Error
TXN00647,None
TXN00648,None
TXN00649,None
TXN00650,None
TXN00651,None
TXN00652,None
TXN00653,None
TXN00654,None
TXN00655,None
TXN00656,None
TXN00657,None
TXN00658,None
TXN00659,None
TXN00660,None
TXN00661,None
TXN00662,Error
TXN00663,None
TXN00664,None
TXN00665,None
TXN00666,None
TXN00667,None
TXN00668,None
TXN00669,None
TXN00670,None
TXN00671,None
TXN00672,Error
TXN00673,None
TXN00674,None
TXN00675,None
TXN00676,Fraud
TXN00677,None
TXN00678,None
TXN00679,Error
TXN00680,Fraud
TXN00681,None
TXN00682,None
TXN00683,None
TXN00684,None
TXN00685,Error
TXN00686,None
TXN00687,None
TXN00688,None
TXN00689,None
TXN00690,None
TXN00691,None
TXN00692,None
TXN00693,None
TXN00694,None
TXN00695,None
TXN00696,None
TXN00697,None
TXN00698,None
TXN00699,None
TXN00700,None
TXN00701,None
TXN00702,None
TXN00703,None
TXN00704,None
TXN00705,None
TXN00706,Error
TXN00707,None
TXN00708,None
TXN00709,None
TXN00710,None
TXN00711,None
TXN00712,None
TXN00713,None
TXN00714,None
TXN00715,None
TXN00716,Fraud
TXN00717,None
TXN00718,Fraud
TXN00719,None
TXN00720,None
TXN00721,Fraud
TXN00722,None
TXN00723,None
TXN00724,None
TXN00725,None
TXN00726,None
TXN00727,None
TXN00728,None
TXN00729,None
TXN00730,None
TXN00731,None
TXN00732,None
TXN00733,None
TXN00734,None
TXN00735,None
TXN00736,Error
TXN00737,None
TXN00738,None
TXN00739,None
TXN00740,None
TXN00741,None
TXN00742,None
TXN00743,None
TXN00744,None
TXN00745,None
TXN00746,Fraud
TXN00747,None
TXN00748,None
TXN00749,Fraud
TXN00750,None
TXN00751,None
TXN00752,Misstatement
TXN00753,None
TXN00754,None
TXN00755,None
TXN00756,None
TXN00757,None
TXN00758,None
TXN00759,Fraud
TXN00760,None
TXN00761,None
TXN00762,None
TXN00763,None
TXN00764,None
TXN00765,None
TXN00766,None
TXN00767,None
TXN00768,Error
TXN00769,None
TXN00770,None
TXN00771,None
TXN00772,None
TXN00773,None
TXN00774,None
TXN00775,None
TXN00776,None
TXN00777,None
TXN00778,None
TXN00779,None
TXN00780,None
TXN00781,None
TXN00782,None
TXN00783,None
TXN00784,None
TXN00785,None
TXN00786,Error
TXN00787,None
TXN00788,None
TXN00789,None
TXN00790,Fraud
TXN00791,None
TXN00792,None
TXN00793,None
TXN00794,None
TXN00795,None
TXN00796,Fraud
TXN00797,Fraud
TXN00798,None
TXN00799,None
TXN00800,Error
TXN00801,None
TXN00802,None
TXN00803,None
TXN00804,None
TXN00805,None
TXN00806,None
TXN00807,Error
TXN00808,Error
TXN00809,None
TXN00810,None
TXN00811,Error
TXN00812,None
TXN00813,None
TXN00814,Error
TXN00815,Fraud
TXN00816,None
TXN00817,None
TXN00818,None
TXN00819,None
TXN00820,None
TXN00821,None
TXN00822,None
TXN00823,None
TXN00824,None
TXN00825,None
TXN00826,Fraud
TXN00827,None
TXN00828,None
TXN00829,None
TXN00830,None
TXN00831,None
TXN00832,None
TXN00833,None
TXN00834,None
TXN00835,None
TXN00836,None
TXN00837,Fraud
TXN00838,None
TXN00839,None
TXN00840,None
TXN00841,None
TXN00842,None
TXN00843,None
TXN00844,Fraud
TXN00845,None
TXN00846,None
TXN00847,None
TXN00848,Error
TXN00849,None
TXN00850,None
TXN00851,None
TXN00852,None
TXN00853,None
TXN00854,Fraud
TXN00855,None
TXN00856,None
TXN00857,None
TXN00858,None
TXN00859,None
TXN00860,None
TXN00861,None
TXN00862,None
TXN00863,None
TXN00864,None
TXN00865,None
TXN00866,None
TXN00867,None
TXN00868,None
TXN00869,Error
TXN00870,Error
TXN00871,None
TXN00872,None
TXN00873,None
TXN00874,None
TXN00875,None
TXN00876,None
TXN00877,None
TXN00878,None
TXN00879,None
TXN00880,None
TXN00881,None
TXN00882,None
TXN00883,None
TXN00884,None
TXN00885,None
TXN00886,None
TXN00887,None
TXN00888,None
TXN00889,None
TXN00890,None
TXN00891,None
TXN00892,Error
TXN00893,None
TXN00894,None
TXN00895,None
TXN00896,None
TXN00897,None
TXN00898,Misstatement
TXN00899,None
TXN00900,None
TXN00901,None
TXN00902,None
TXN00903,None
TXN00904,None
TXN00905,None
TXN00906,Fraud
TXN00907,None
TXN00908,None
TXN00909,None
TXN00910,None
TXN00911,None
TXN00912,None
TXN00913,None
TXN00914,None
TXN00915,None
TXN00916,None
TXN00917,None
TXN00918,Error
TXN00919,None
TXN00920,None
TXN00921,Fraud
TXN00922,None
TXN00923,Error
TXN00924,None
TXN00925,None
TXN00926,None
TXN00927,None
TXN00928,None
TXN00929,None
TXN00930,None
TXN00931,None
TXN00932,None
TXN00933,Error
TXN00934,None
TXN00935,None
TXN00936,None
TXN00937,None
TXN00938,Error
TXN00939,None
TXN00940,None
TXN00941,None
TXN00942,None
TXN00943,None
TXN00944,None
TXN00945,None
TXN00946,None
TXN00947,None
TXN00948,Error
TXN00949,Error
TXN00950,None
TXN00951,None
TXN00952,None
TXN00953,None
TXN00954,Fraud
TXN00955,None
TXN00956,None
TXN00957,None
TXN00958,None
TXN00959,None
TXN00960,None
TXN00961,None
TXN00962,None
TXN00963,None
TXN00964,None
TXN00965,None
TXN00966,None
TXN00967,None
TXN00968,None
TXN00969,None
TXN00970,None
TXN00971,None
TXN00972,Error
TXN00973,None
TXN00974,None
TXN00975,None
TXN00976,None
TXN00977,None
TXN00978,None
TXN00979,None
TXN00980,None
TXN00981,None
TXN00982,None
TXN00983,None
TXN00984,None
TXN00985,None
TXN00986,None
TXN00987,None
TXN00988,None
TXN00989,None
TXN00990,None
TXN00991,None
TXN00992,None
TXN00993,None
TXN00994,None
TXN00995,None
TXN00996,None
TXN00997,Error
TXN00998,None
TXN00999,Fraud
TXN01000,None
TXN01001,None
TXN01002,None
TXN01003,Fraud
TXN01004,None
TXN01005,None
TXN01006,None
TXN01007,None
TXN01008,None
TXN01009,None
TXN01010,None
TXN01011,None
TXN01012,Misstatement
TXN01013,Fraud
TXN01014,None
TXN01015,None
TXN01016,Error
TXN01017,None
TXN01018,None
TXN01019,Misstatement
TXN01020,None
TXN01021,None
TXN01022,None
TXN01023,Error
TXN01024,Misstatement
TXN01025,Fraud
TXN01026,None
TXN01027,Fraud
TXN01028,None
TXN01029,None
TXN01030,None
TXN01031,None
TXN01032,None
TXN01033,None
TXN01034,None
TXN01035,None
TXN01036,None
TXN01037,None
TXN01038,None
TXN01039,None
TXN01040,None
TXN01041,None
TXN01042,None
TXN01043,None
TXN01044,None
TXN01045,Error
TXN01046,None
TXN01047,None
TXN01048,None
TXN01049,Misstatement
TXN01050,None
TXN01051,Error
TXN01052,None
TXN01053,Fraud
TXN01054,None
TXN01055,Fraud
TXN01056,None
TXN01057,None
TXN01058,None
TXN01059,None
TXN01060,None
TXN01061,Fraud
TXN01062,Error
TXN01063,None
TXN01064,None
TXN01065,None
TXN01066,None
TXN01067,None
TXN01068,None
TXN01069,None
TXN01070,None
TXN01071,None
TXN01072,None
TXN01073,None
TXN01074,None
TXN01075,Misstatement
TXN01076,None
TXN01077,None
TXN01078,None
TXN01079,None
TXN01080,Misstatement
TXN01081,None
TXN01082,None
TXN01083,None
TXN01084,Error
TXN01085,Misstatement
TXN01086,None
TXN01087,None
TXN01088,None
TXN01089,Error
TXN01090,None
TXN01091,Fraud
TXN01092,None
TXN01093,None
TXN01094,None
TXN01095,None
TXN01096,None
TXN01097,None
TXN01098,None
TXN01099,None
TXN01100,None
TXN01101,None
TXN01102,Error
TXN01103,Misstatement
TXN01104,Fraud
TXN01105,Error
TXN01106,None
TXN01107,None
TXN01108,None
TXN01109,None
TXN01110,None
TXN01111,None
TXN01112,None
TXN01113,None
TXN01114,None
TXN01115,None
TXN01116,None
TXN01117,None
TXN01118,Error
TXN01119,None
TXN01120,None
TXN01121,Fraud
TXN01122,Fraud
TXN01123,Fraud
TXN01124,None
TXN01125,None
TXN01126,None
TXN01127,None
TXN01128,None
TXN01129,None
TXN01130,None
TXN01131,None
TXN01132,None
TXN01133,None
TXN01134,None
TXN01135,None
TXN01136,None
TXN01137,Fraud
TXN01138,None
TXN01139,None
TXN01140,None
TXN01141,None
TXN01142,None
TXN01143,None
TXN01144,None
TXN01145,None
TXN01146,Misstatement
TXN01147,None
TXN01148,None
TXN01149,Misstatement
TXN01150,Fraud
TXN01151,None
TXN01152,None
TXN01153,None
TXN01154,None
TXN01155,None
TXN01156,None
TXN01157,None
TXN01158,Error
TXN01159,Error
TXN01160,None
TXN01161,None
TXN01162,None
TXN01163,None
TXN01164,None
TXN01165,None
TXN01166,None
TXN01167,None
TXN01168,None
TXN01169,None
TXN01170,None
TXN01171,None
TXN01172,Misstatement
TXN01173,None
TXN01174,None
TXN01175,None
TXN01176,None
TXN01177,None
TXN01178,None
TXN01179,None
TXN01180,None
TXN01181,Misstatement
TXN01182,None
TXN01183,None
TXN01184,Fraud
TXN01185,None
TXN01186,Fraud
TXN01187,None
TXN01188,None
TXN01189,None
TXN01190,None
TXN01191,None
TXN01192,None
TXN01193,None
TXN01194,None
TXN01195,None
TXN01196,Fraud
TXN01197,Error
TXN01198,Fraud
TXN01199,None
TXN01200,None
TXN01201,None
TXN01202,None
TXN01203,None
TXN01204,None
TXN01205,None
TXN01206,None
TXN01207,None
TXN01208,None
TXN01209,None
TXN01210,Misstatement
TXN01211,None
TXN01212,None
TXN01213,None
TXN01214,None
TXN01215,None
TXN01216,None
TXN01217,None
TXN01218,None
TXN01219,None
TXN01220,None
TXN01221,Fraud
TXN01222,None
TXN01223,None
TXN01224,Misstatement
TXN01225,None
TXN01226,None
TXN01227,None
TXN01228,None
TXN01229,Fraud
TXN01230,None
TXN01231,Fraud
TXN01232,None
TXN01233,None
TXN01234,None
TXN01235,None
TXN01236,None
TXN01237,Misstatement
TXN01238,None
TXN01239,Error
TXN01240,None
TXN01241,Error
TXN01242,None
TXN01243,None
TXN01244,None
TXN01245,None
TXN01246,None
TXN01247,None
TXN01248,None
TXN01249,Misstatement
TXN01250,None
TXN01251,None
TXN01252,None
TXN01253,None
TXN01254,None
TXN01255,None
TXN01256,None
TXN01257,None
TXN01258,None
TXN01259,None
TXN01260,None
TXN01261,None
TXN01262,None
TXN01263,None
TXN01264,None
TXN01265,None
TXN01266,None
TXN01267,None
TXN01268,None
TXN01269,None
TXN01270,None
TXN01271,None
TXN01272,Error
TXN01273,None
TXN01274,None
TXN01275,None
TXN01276,None
TXN01277,None
TXN01278,Misstatement
TXN01279,None
TXN01280,None
TXN01281,None
TXN01282,None
TXN01283,None
TXN01284,None
TXN01285,None
TXN01286,None
TXN01287,None
TXN01288,None
TXN01289,None
TXN01290,None
TXN01291,None
TXN01292,None
TXN01293,None
TXN01294,None
TXN01295,None
TXN01296,None
TXN01297,None
TXN01298,None
TXN01299,None
TXN01300,None
TXN01301,None
TXN01302,Misstatement
TXN01303,None
TXN01304,None
TXN01305,None
TXN01306,Misstatement
TXN01307,None
TXN01308,None
TXN01309,None
TXN01310,None
TXN01311,None
TXN01312,Error
TXN01313,None
TXN01314,None
TXN01315,None
TXN01316,None
TXN01317,None
TXN01318,None
TXN01319,None
TXN01320,None
TXN01321,None
TXN01322,None
TXN01323,Fraud
TXN01324,None
TXN01325,Error
TXN01326,None
TXN01327,None
TXN01328,None
TXN01329,None
TXN01330,None
TXN01331,None
TXN01332,None
TXN01333,None
TXN01334,Error
TXN01335,Error
TXN01336,None
TXN01337,None
TXN01338,None
TXN01339,None
TXN01340,None
TXN01341,None
TXN01342,None
TXN01343,Fraud
TXN01344,None
TXN01345,None
TXN01346,None
TXN01347,None
TXN01348,None
TXN01349,Error
TXN01350,None
TXN01351,Misstatement
TXN01352,None
TXN01353,None
TXN01354,None
TXN01355,None
TXN01356,Error
TXN01357,Fraud
TXN01358,None
TXN01359,None
TXN01360,None
TXN01361,Fraud
TXN01362,None
TXN01363,None
TXN01364,None
TXN01365,None
TXN01366,None
TXN01367,None
TXN01368,Fraud
TXN01369,None
TXN01370,None
TXN01371,Misstatement
TXN01372,None
TXN01373,Misstatement
TXN01374,None
TXN01375,None
TXN01376,Fraud
TXN01377,None
TXN01378,None
TXN01379,None
TXN01380,None
TXN01381,None
TXN01382,None
TXN01383,Fraud
TXN01384,None
TXN01385,None
TXN01386,None
TXN01387,None
TXN01388,None
TXN01389,Fraud
TXN01390,None
TXN01391,None
TXN01392,None
TXN01393,None
TXN01394,None
TXN01395,None
TXN01396,None
TXN01397,None
TXN01398,None
TXN01399,None
TXN01400,None
TXN01401,None
TXN01402,None
TXN01403,None
TXN01404,None
TXN01405,None
TXN01406,None
TXN01407,None
TXN01408,None
TXN01409,None
TXN01410,Error
TXN01411,None
TXN01412,None
TXN01413,None
TXN01414,None
TXN01415,None
TXN01416,Fraud
TXN01417,None
TXN01418,None
TXN01419,None
TXN01420,Error
TXN01421,None
TXN01422,None
TXN01423,None
TXN01424,None
TXN01425,Misstatement
TXN01426,Error
TXN01427,None
TXN01428,Error
TXN01429,None
TXN01430,Misstatement
TXN01431,None
TXN01432,None
TXN01433,None
TXN01434,None
TXN01435,None
TXN01436,None
TXN01437,None
TXN01438,None
TXN01439,None
TXN01440,None
TXN01441,Misstatement
TXN01442,None
TXN01443,None
TXN01444,None
TXN01445,Error
TXN01446,None
TXN01447,None
TXN01448,None
TXN01449,Misstatement
TXN01450,None
TXN01451,None
TXN01452,None
TXN01453,Misstatement
TXN01454,None
TXN01455,None
TXN01456,Error
TXN01457,None
TXN01458,None
TXN01459,None
TXN01460,None
TXN01461,None
TXN01462,None
TXN01463,None
TXN01464,None
TXN01465,Misstatement
TXN01466,None
TXN01467,Fraud
TXN01468,None
TXN01469,Misstatement
TXN01470,None
TXN01471,None
TXN01472,None
TXN01473,Fraud
TXN01474,None
TXN01475,None
TXN01476,None
TXN01477,None
TXN01478,None
TXN01479,None
TXN01480,None
TXN01481,None
TXN01482,None
TXN01483,None
TXN01484,None
TXN01485,None
TXN01486,None
TXN01487,None
TXN01488,None
TXN01489,None
TXN01490,None
TXN01491,None
TXN01492,None
TXN01493,None
TXN01494,None
TXN01495,None
TXN01496,None
TXN01497,None
TXN01498,None
TXN01499,None
TXN01500,Fraud
TXN01501,None
TXN01502,None
TXN01503,None
TXN01504,None
TXN01505,None
TXN01506,None
TXN01507,None
TXN01508,None
TXN01509,None
TXN01510,None
TXN01511,None
TXN01512,None
TXN01513,Misstatement
TXN01514,None
TXN01515,None
TXN01516,None
TXN01517,None
TXN01518,Fraud
TXN01519,None
TXN01520,Error
TXN01521,None
TXN01522,Fraud
TXN01523,None
TXN01524,None
TXN01525,None
TXN01526,None
TXN01527,None
TXN01528,None
TXN01529,None
TXN01530,None
TXN01531,None
TXN01532,None
TXN01533,None
TXN01534,None
TXN01535,None
TXN01536,None
TXN01537,None
TXN01538,None
TXN01539,None
TXN01540,None
TXN01541,None
TXN01542,None
TXN01543,None
TXN01544,None
TXN01545,Misstatement
TXN01546,None
TXN01547,None
TXN01548,None
TXN01549,None
TXN01550,None
TXN01551,Fraud
TXN01552,None
TXN01553,None
TXN01554,Error
TXN01555,None
TXN01556,None
TXN01557,None
TXN01558,None
TXN01559,None
TXN01560,Misstatement
TXN01561,None
TXN01562,None
TXN01563,None
TXN01564,None
TXN01565,None
TXN01566,None
TXN01567,None
TXN01568,None
TXN01569,None
TXN01570,None
TXN01571,None
TXN01572,None
TXN01573,None
TXN01574,Error
TXN01575,None
TXN01576,None
TXN01577,None
TXN01578,None
TXN01579,None
TXN01580,None
TXN01581,None
TXN01582,None
TXN01583,None
TXN01584,None
TXN01585,Misstatement
TXN01586,None
TXN01587,None
TXN01588,None
TXN01589,None
TXN01590,None
TXN01591,None
TXN01592,Misstatement
TXN01593,None
TXN01594,None
TXN01595,None
TXN01596,None
TXN01597,None
TXN01598,None
TXN01599,None
TXN01600,Fraud
TXN01601,None
TXN01602,None
TXN01603,None
TXN01604,None
TXN01605,None
TXN01606,None
TXN01607,None
TXN01608,None
TXN01609,None
TXN01610,None
TXN01611,Error
TXN01612,None
TXN01613,None
TXN01614,None
TXN01615,None
TXN01616,None
TXN01617,Fraud
TXN01618,None
TXN01619,None
TXN01620,None
TXN01621,None
TXN01622,None
TXN01623,None
TXN01624,Fraud
TXN01625,None
TXN01626,None
TXN01627,None
TXN01628,None
TXN01629,None
TXN01630,None
TXN01631,None
TXN01632,None
TXN01633,None
TXN01634,None
TXN01635,Misstatement
TXN01636,None
TXN01637,None
TXN01638,None
TXN01639,Fraud
TXN01640,Fraud
TXN01641,None
TXN01642,None
TXN01643,None
TXN01644,None
TXN01645,None
TXN01646,None
TXN01647,None
TXN01648,None
TXN01649,None
TXN01650,None
TXN01651,None
TXN01652,None
TXN01653,None
TXN01654,None
TXN01655,None
TXN01656,Error
TXN01657,None
TXN01658,None
TXN01659,None
TXN01660,None
TXN01661,None
