Transaction_ID,Date,YearMonth
TXN00057,2024-09-04,2024-09
TXN00058,2024-04-11,2024-04
TXN00059,2024-12-18,2024-12
TXN00060,2024-03-15,2024-03
TXN00061,2024-08-28,2024-08
TXN00062,2024-02-09,2024-02
TXN00063,2024-05-20,2024-05
TXN00064,2025-01-05,2025-01
TXN00065,2024-09-02,2024-09
TXN00066,2024-07-31,2024-07
TXN00067,2024-10-27,2024-10
TXN00068,2024-03-29,2024-03
TXN00069,2024-06-01,2024-06
TXN00070,2024-05-08,2024-05
TXN00071,2024-06-11,2024-06
TXN00072,2024-07-10,2024-07
TXN00073,2024-06-23,2024-06
TXN00074,2024-12-15,2024-12
TXN00075,2024-12-28,2024-12
TXN00076,2024-03-11,2024-03
TXN00077,2024-12-31,2024-12
TXN00078,2024-05-03,2024-05
TXN00079,2024-07-01,2024-07
TXN00080,2024-08-24,2024-08
TXN00081,2024-09-11,2024-09
TXN00082,2024-06-09,2024-06
TXN00083,2024-02-14,2024-02
TXN00084,2024-03-11,2024-03
TXN00085,2024-11-26,2024-11
TXN00086,2024-06-17,2024-06
TXN00087,2024-07-12,2024-07
TXN00088,2024-06-15,2024-06
TXN00089,2024-12-04,2024-12
TXN00090,2024-06-14,2024-06
TXN00091,2024-05-12,2024-05
TXN00092,2024-11-20,2024-11
TXN00093,2024-01-15,2024-01
TXN00094,2024-10-26,2024-10
TXN00095,2024-11-04,2024-11
TXN00096,2024-12-26,2024-12
TXN00097,2024-04-06,2024-04
TXN00098,2024-09-27,2024-09
TXN00099,2024-03-12,2024-03
TXN00100,2024-06-18,2024-06
TXN00101,2024-07-26,2024-07
TXN00102,2024-10-13,2024-10
TXN00103,2024-08-11,2024-08
TXN00104,2024-10-09,2024-10
TXN00105,2024-02-15,2024-02
TXN00106,2024-07-31,2024-07
TXN00107,2024-10-08,2024-10
TXN00108,2024-05-04,2024-05
TXN00109,2024-08-20,2024-08
TXN00110,2024-03-12,2024-03
TXN00111,2024-11-18,2024-11
TXN00112,2024-05-25,2024-05
TXN00113,2024-03-29,2024-03
TXN00114,2024-02-29,2024-02
TXN00115,2024-09-07,2024-09
TXN00116,2024-12-19,2024-12
TXN00117,2024-05-10,2024-05
TXN00118,2024-08-21,2024-08
TXN00119,2024-09-06,2024-09
TXN00120,2024-11-19,2024-11
TXN00121,2024-12-02,2024-12
TXN00122,2024-05-11,2024-05
TXN00123,2024-04-11,2024-04
TXN00124,2024-12-27,2024-12
TXN00125,2024-04-24,2024-04
TXN00126,2024-04-20,2024-04
TXN00127,2024-03-18,2024-03
TXN00128,2024-08-27,2024-08
TXN00129,2024-10-08,2024-10
TXN00130,2024-11-05,2024-11
TXN00131,2024-11-06,2024-11
TXN00132,2024-02-26,2024-02
TXN00133,2024-07-28,2024-07
TXN00134,2024-01-29,2024-01
TXN00135,2024-01-13,2024-01
TXN00136,2024-12-16,2024-12
TXN00137,2024-04-17,2024-04
TXN00138,2024-01-08,2024-01
TXN00139,2024-11-12,2024-11
TXN00140,2024-09-17,2024-09
TXN00141,2024-11-19,2024-11
TXN00142,2024-07-28,2024-07
TXN00143,2024-12-04,2024-12
TXN00144,2024-04-22,2024-04
TXN00145,2024-03-18,2024-03
TXN00146,2024-06-22,2024-06
TXN00147,2024-11-20,2024-11
TXN00148,2024-06-06,2024-06
TXN00149,2024-11-03,2024-11
TXN00150,2024-04-22,2024-04
TXN00151,2024-11-28,2024-11
TXN00152,2024-08-25,2024-08
TXN00153,2024-07-24,2024-07
TXN00154,2024-10-01,2024-10
TXN00155,2024-06-21,2024-06
TXN00156,2024-03-14,2024-03
TXN00157,2024-04-23,2024-04
TXN00158,2024-01-27,2024-01
TXN00159,2025-01-04,2025-01
TXN00160,2024-02-10,2024-02
TXN00161,2024-12-29,2024-12
TXN00162,2025-01-06,2025-01
TXN00163,2024-01-18,2024-01
TXN00164,2024-06-15,2024-06
TXN00165,2024-09-15,2024-09
TXN00166,2024-08-24,2024-08
TXN00167,2024-06-24,2024-06
TXN00168,2024-05-21,2024-05
TXN00169,2024-02-08,2024-02
TXN00170,2024-09-29,2024-09
TXN00171,2024-06-09,2024-06
TXN00172,2024-05-13,2024-05
TXN00173,2024-06-16,2024-06
TXN00174,2024-06-29,2024-06
TXN00175,2024-07-21,2024-07
TXN00176,2024-02-26,2024-02
TXN00177,2024-12-30,2024-12
TXN00178,2024-06-22,2024-06
TXN00179,2024-08-10,2024-08
TXN00180,2024-12-14,2024-12
TXN00181,2024-02-14,2024-02
TXN00182,2024-08-30,2024-08
TXN00183,2024-08-05,2024-08
TXN00184,2024-06-13,2024-06
TXN00185,2024-11-30,2024-11
TXN00186,2024-03-08,2024-03
TXN00187,2024-12-06,2024-12
TXN00188,2024-11-29,2024-11
TXN00189,2024-04-15,2024-04
TXN00190,2024-03-10,2024-03
TXN00191,2024-12-15,2024-12
TXN00192,2024-07-18,2024-07
TXN00193,2024-03-03,2024-03
TXN00194,2024-10-19,2024-10
TXN00195,2024-03-17,2024-03
TXN00196,2024-09-20,2024-09
TXN00197,2024-08-09,2024-08
TXN00198,2024-05-29,2024-05
TXN00199,2024-01-18,2024-01
TXN00200,2024-06-25,2024-06
TXN00201,2024-01-19,2024-01
TXN00202,2024-11-08,2024-11
TXN00203,2024-11-04,2024-11
TXN00204,2024-05-01,2024-05
TXN00205,2024-03-27,2024-03
TXN00206,2024-10-31,2024-10
TXN00207,2024-12-12,2024-12
TXN00208,2024-11-21,2024-11
TXN00209,2024-11-05,2024-11
TXN00210,2024-11-07,2024-11
TXN00211,2024-04-24,2024-04
TXN00212,2024-05-13,2024-05
TXN00213,2024-08-13,2024-08
TXN00214,2024-12-14,2024-12
TXN00215,2024-09-10,2024-09
TXN00216,2024-07-29,2024-07
TXN00217,2024-09-22,2024-09
TXN00218,2024-11-01,2024-11
TXN00219,2024-03-31,2024-03
TXN00220,2024-10-16,2024-10
TXN00221,2024-09-03,2024-09
TXN00222,2024-12-21,2024-12
TXN00223,2024-08-15,2024-08
TXN00224,2024-11-09,2024-11
TXN00225,2024-05-01,2024-05
TXN00226,2024-01-13,2024-01
TXN00227,2024-01-21,2024-01
TXN00228,2024-05-10,2024-05
TXN00229,2024-07-20,2024-07
TXN00230,2024-10-07,2024-10
TXN00231,2024-03-12,2024-03
TXN00232,2024-05-17,2024-05
TXN00233,2024-12-27,2024-12
TXN00234,2024-04-15,2024-04
TXN00235,2024-11-05,2024-11
TXN00236,2024-04-25,2024-04
TXN00237,2024-04-16,2024-04
TXN00238,2024-11-01,2024-11
TXN00239,2024-10-10,2024-10
TXN00240,2024-01-30,2024-01
TXN00241,2024-06-17,2024-06
TXN00242,2024-01-08,2024-01
TXN00243,2025-01-03,2025-01
TXN00244,2024-03-25,2024-03
TXN00245,2024-12-20,2024-12
TXN00246,2024-01-08,2024-01
TXN00247,2024-03-30,2024-03
TXN00248,2024-02-26,2024-02
TXN00249,2024-04-04,2024-04
TXN00250,2024-12-21,2024-12
TXN00251,2024-03-23,2024-03
TXN00252,2024-12-31,2024-12
TXN00253,2024-12-28,2024-12
TXN00254,2024-02-25,2024-02
TXN00255,2024-02-03,2024-02
TXN00256,2024-10-16,2024-10
TXN00257,2024-08-12,2024-08
TXN00258,2024-08-29,2024-08
TXN00259,2024-04-12,2024-04
TXN00260,2024-07-15,2024-07
TXN00261,2024-07-26,2024-07
TXN00262,2024-06-19,2024-06
TXN00263,2024-02-21,2024-02
TXN00264,2024-11-16,2024-11
TXN00265,2024-01-22,2024-01
TXN00266,2024-11-23,2024-11
TXN00267,2024-08-19,2024-08
TXN00268,2024-11-01,2024-11
TXN00269,2024-11-05,2024-11
TXN00270,2024-11-17,2024-11
TXN00271,2024-12-04,2024-12
TXN00272,2024-06-07,2024-06
TXN00273,2024-06-07,2024-06
TXN00274,2024-11-15,2024-11
TXN00275,2024-08-23,2024-08
TXN00276,2024-02-23,2024-02
TXN00277,2024-05-16,2024-05
TXN00278,2024-04-15,2024-04
TXN00279,2024-07-28,2024-07
TXN00280,2024-10-15,2024-10
TXN00281,2024-11-03,2024-11
TXN00282,2024-12-03,2024-12
TXN00283,2025-01-01,2025-01
TXN00284,2024-11-06,2024-11
TXN00285,2024-06-10,2024-06
TXN00286,2024-11-07,2024-11
TXN00287,2024-08-30,2024-08
TXN00288,2024-09-06,2024-09
TXN00289,2024-01-30,2024-01
TXN00290,2024-09-07,2024-09
TXN00291,2024-02-21,2024-02
TXN00292,2024-06-28,2024-06
TXN00293,2024-08-23,2024-08
TXN00294,2024-09-21,2024-09
TXN00295,2024-05-21,2024-05
TXN00296,2024-04-03,2024-04
TXN00297,2024-06-11,2024-06
TXN00298,2024-01-13,2024-01
TXN00299,2024-02-17,2024-02
TXN00300,2024-07-19,2024-07
TXN00301,2024-04-12,2024-04
TXN00302,2024-09-14,2024-09
TXN00303,2024-05-30,2024-05
TXN00304,2024-09-05,2024-09
TXN00305,2024-07-31,2024-07
TXN00306,2024-11-08,2024-11
TXN00307,2024-07-27,2024-07
TXN00308,2024-09-24,2024-09
TXN00309,2024-05-06,2024-05
TXN00310,2024-03-11,2024-03
TXN00311,2024-08-09,2024-08
TXN00312,2024-08-07,2024-08
TXN00313,2024-04-10,2024-04
TXN00314,2024-02-04,2024-02
TXN00315,2024-04-18,2024-04
TXN00316,2024-11-30,2024-11
TXN00317,2024-04-30,2024-04
TXN00318,2024-07-13,2024-07
TXN00319,2024-03-16,2024-03
TXN00320,2024-09-04,2024-09
TXN00321,2024-12-04,2024-12
TXN00322,2024-04-20,2024-04
TXN00323,2024-08-01,2024-08
TXN00324,2024-02-29,2024-02
TXN00325,2024-01-12,2024-01
TXN00326,2024-08-20,2024-08
TXN00327,2024-12-27,2024-12
TXN00328,2024-07-04,2024-07
TXN00329,2024-04-26,2024-04
TXN00330,2024-03-23,2024-03
TXN00331,2024-07-09,2024-07
TXN00332,2024-10-25,2024-10
TXN00333,2024-10-29,2024-10
TXN00334,2024-02-25,2024-02
TXN00335,2024-08-16,2024-08
TXN00336,2024-07-25,2024-07
TXN00337,2024-01-21,2024-01
TXN00338,2024-11-20,2024-11
TXN00339,2024-09-08,2024-09
TXN00340,2024-09-03,2024-09
TXN00341,2024-05-20,2024-05
TXN00342,2024-08-05,2024-08
TXN00343,2024-12-12,2024-12
TXN00344,2024-12-13,2024-12
TXN00345,2024-07-02,2024-07
TXN00346,2024-06-26,2024-06
TXN00347,2024-12-20,2024-12
TXN00348,2024-07-01,2024-07
TXN00349,2024-06-02,2024-06
TXN00350,2024-06-29,2024-06
TXN00351,2024-04-09,2024-04
TXN00352,2024-11-22,2024-11
TXN00353,2024-05-31,2024-05
TXN00354,2024-09-22,2024-09
TXN00355,2024-08-18,2024-08
TXN00356,2024-06-02,2024-06
TXN00357,2024-01-26,2024-01
TXN00358,2024-09-02,2024-09
TXN00359,2025-01-06,2025-01
TXN00360,2024-03-05,2024-03
TXN00361,2024-03-12,2024-03
TXN00362,2024-12-19,2024-12
TXN00363,2024-01-14,2024-01
TXN00364,2024-04-22,2024-04
TXN00365,2024-03-17,2024-03
TXN00366,2024-10-22,2024-10
TXN00367,2024-09-13,2024-09
TXN00368,2024-01-20,2024-01
TXN00369,2024-10-10,2024-10
TXN00370,2024-11-04,2024-11
TXN00371,2024-12-30,2024-12
TXN00372,2024-04-22,2024-04
TXN00373,2024-05-19,2024-05
TXN00374,2024-03-29,2024-03
TXN00375,2024-07-04,2024-07
TXN00376,2024-10-27,2024-10
TXN00377,2024-05-06,2024-05
TXN00378,2024-11-24,2024-11
TXN00379,2024-03-21,2024-03
TXN00380,2024-01-27,2024-01
TXN00381,2024-07-08,2024-07
TXN00382,2024-05-27,2024-05
TXN00383,2024-08-06,2024-08
TXN00384,2024-09-03,2024-09
TXN00385,2024-03-13,2024-03
TXN00386,2024-06-02,2024-06
TXN00387,2024-08-27,2024-08
TXN00388,2024-08-15,2024-08
TXN00389,2024-04-27,2024-04
TXN00390,2024-07-24,2024-07
TXN00391,2024-11-20,2024-11
TXN00392,2024-04-07,2024-04
TXN00393,2024-09-01,2024-09
TXN00394,2024-07-20,2024-07
TXN00395,2024-01-10,2024-01
TXN00396,2024-01-20,2024-01
TXN00397,2024-08-07,2024-08
TXN00398,2024-11-08,2024-11
TXN00399,2024-08-31,2024-08
TXN00400,2024-07-18,2024-07
TXN00401,2024-11-23,2024-11
TXN00402,2024-01-29,2024-01
TXN00403,2024-06-22,2024-06
TXN00404,2024-01-13,2024-01
TXN00405,2024-02-29,2024-02
TXN00406,2024-05-05,2024-05
TXN00407,2024-04-19,2024-04
TXN00408,2024-11-05,2024-11
TXN00409,2024-10-11,2024-10
TXN00410,2024-02-09,2024-02
TXN00411,2024-04-30,2024-04
TXN00412,2024-03-13,2024-03
TXN00413,2024-07-19,2024-07
TXN00414,2024-04-04,2024-04
TXN00415,2024-04-01,2024-04
TXN00416,2024-07-07,2024-07
TXN00417,2024-07-29,2024-07
TXN00418,2024-04-10,2024-04
TXN00419,2024-02-28,2024-02
TXN00420,2024-04-11,2024-04
TXN00421,2024-06-27,2024-06
TXN00422,2024-11-12,2024-11
TXN00423,2024-10-04,2024-10
TXN00424,2024-08-04,2024-08
TXN00425,2024-10-31,2024-10
TXN00426,2024-11-15,2024-11
TXN00427,2024-08-08,2024-08
TXN00428,2024-01-28,2024-01
TXN00429,2024-07-31,2024-07
TXN00430,2024-02-26,2024-02
TXN00431,2024-08-06,2024-08
TXN00432,2024-10-12,2024-10
TXN00433,2024-01-09,2024-01
TXN00434,2024-12-07,2024-12
TXN00435,2024-05-02,2024-05
TXN00436,2024-04-04,2024-04
TXN00437,2024-05-13,2024-05
TXN00438,2024-02-26,2024-02
TXN00439,2024-06-01,2024-06
TXN00440,2024-03-08,2024-03
TXN00441,2024-11-05,2024-11
TXN00442,2024-01-24,2024-01
TXN00443,2024-10-01,2024-10
TXN00444,2024-04-29,2024-04
TXN00445,2024-05-30,2024-05
TXN00446,2024-01-23,2024-01
TXN00447,2024-03-23,2024-03
TXN00448,2024-05-27,2024-05
TXN00449,2024-01-11,2024-01
TXN00450,2024-03-26,2024-03
TXN00451,2024-08-03,2024-08
TXN00452,2024-12-03,2024-12
TXN00453,2024-04-29,2024-04
TXN00454,2024-05-03,2024-05
TXN00455,2024-11-28,2024-11
TXN00456,2024-06-12,2024-06
TXN00457,2024-07-17,2024-07
TXN00458,2024-04-27,2024-04
TXN00459,2024-03-13,2024-03
TXN00460,2024-11-23,2024-11
TXN00461,2024-02-02,2024-02
TXN00462,2024-06-05,2024-06
TXN00463,2024-09-20,2024-09
TXN00464,2024-06-27,2024-06
TXN00465,2024-08-10,2024-08
TXN00466,2024-02-19,2024-02
TXN00467,2024-06-30,2024-06
TXN00468,2024-04-30,2024-04
TXN00469,2024-11-23,2024-11
TXN00470,2024-06-09,2024-06
TXN00471,2024-10-07,2024-10
TXN00472,2024-09-29,2024-09
TXN00473,2025-01-06,2025-01
TXN00474,2024-08-11,2024-08
TXN00475,2024-09-26,2024-09
TXN00476,2024-02-09,2024-02
TXN00477,2024-05-13,2024-05
TXN00478,2024-02-29,2024-02
TXN00479,2024-05-29,2024-05
TXN00480,2024-05-18,2024-05
TXN00481,2024-09-30,2024-09
TXN00482,2024-03-08,2024-03
TXN00483,2024-05-03,2024-05
TXN00484,2024-03-18,2024-03
TXN00485,2024-11-05,2024-11
TXN00486,2024-10-06,2024-10
TXN00487,2024-07-31,2024-07
TXN00488,2024-06-02,2024-06
TXN00489,2024-02-24,2024-02
TXN00490,2024-03-26,2024-03
TXN00491,2024-05-08,2024-05
TXN00492,2024-06-01,2024-06
TXN00493,2024-09-15,2024-09
TXN00494,2024-09-23,2024-09
TXN00495,2024-02-27,2024-02
TXN00496,2024-07-22,2024-07
TXN00497,2024-05-19,2024-05
TXN00498,2024-09-02,2024-09
TXN00499,2024-01-20,2024-01
TXN00500,2024-08-04,2024-08
TXN00501,2024-10-29,2024-10
TXN00502,2024-03-28,2024-03
TXN00503,2024-05-23,2024-05
TXN00504,2024-04-05,2024-04
TXN00505,2024-09-10,2024-09
TXN00506,2024-12-24,2024-12
TXN00507,2024-10-12,2024-10
TXN00508,2024-07-30,2024-07
TXN00509,2024-05-21,2024-05
TXN00510,2024-04-30,2024-04
TXN00511,2024-01-27,2024-01
TXN00512,2024-08-14,2024-08
TXN00513,2024-10-14,2024-10
TXN00514,2024-04-09,2024-04
TXN00515,2024-05-25,2024-05
TXN00516,2024-01-11,2024-01
TXN00517,2024-11-19,2024-11
TXN00518,2024-10-07,2024-10
TXN00519,2024-11-09,2024-11
TXN00520,2024-08-26,2024-08
TXN00521,2024-05-16,2024-05
TXN00522,2024-05-12,2024-05
TXN00523,2024-02-08,2024-02
TXN00524,2024-07-21,2024-07
TXN00525,2024-06-02,2024-06
TXN00526,2024-07-09,2024-07
TXN00527,2024-12-06,2024-12
TXN00528,2024-02-11,2024-02
TXN00529,2024-09-22,2024-09
TXN00530,2024-07-29,2024-07
TXN00531,2024-01-29,2024-01
TXN00532,2024-04-28,2024-04
TXN00533,2024-11-12,2024-11
TXN00534,2024-10-30,2024-10
TXN00535,2024-04-25,2024-04
TXN00536,2024-03-19,2024-03
TXN00537,2024-02-05,2024-02
TXN00538,2024-12-11,2024-12
TXN00539,2024-07-01,2024-07
TXN00540,2024-02-26,2024-02
TXN00541,2024-03-04,2024-03
TXN00542,2024-01-31,2024-01
TXN00543,2024-03-13,2024-03
TXN00544,2024-11-30,2024-11
TXN00545,2024-06-19,2024-06
TXN00546,2024-10-18,2024-10
TXN00547,2024-03-12,2024-03
TXN00548,2024-04-25,2024-04
TXN00549,2024-07-23,2024-07
TXN00550,2024-03-04,2024-03
TXN00551,2024-12-01,2024-12
TXN00552,2024-04-15,2024-04
TXN00553,2024-11-16,2024-11
TXN00554,2024-05-17,2024-05
TXN00555,2024-05-09,2024-05
TXN00556,2024-07-19,2024-07
TXN00557,2024-12-23,2024-12
TXN00558,2024-07-10,2024-07
TXN00559,2024-05-15,2024-05
TXN00560,2024-12-15,2024-12
TXN00561,2025-01-05,2025-01
TXN00562,2024-01-27,2024-01
TXN00563,2024-06-18,2024-06
TXN00564,2024-03-29,2024-03
TXN00565,2024-04-25,2024-04
TXN00566,2024-02-07,2024-02
TXN00567,2024-08-06,2024-08
TXN00568,2024-10-26,2024-10
TXN00569,2024-11-19,2024-11
TXN00570,2024-02-05,2024-02
TXN00571,2024-12-11,2024-12
TXN00572,2024-12-09,2024-12
TXN00573,2024-08-30,2024-08
TXN00574,2024-06-16,2024-06
TXN00575,2024-06-06,2024-06
TXN00576,2024-07-15,2024-07
TXN00577,2024-05-27,2024-05
TXN00578,2024-05-03,2024-05
TXN00579,2024-01-16,2024-01
TXN00580,2024-03-24,2024-03
TXN00581,2024-03-29,2024-03
TXN00582,2024-01-10,2024-01
TXN00583,2024-08-04,2024-08
TXN00584,2024-08-30,2024-08
TXN00585,2024-08-27,2024-08
TXN00586,2024-03-05,2024-03
TXN00587,2024-07-25,2024-07
TXN00588,2024-04-18,2024-04
TXN00589,2024-12-29,2024-12
TXN00590,2024-09-04,2024-09
TXN00591,2024-12-26,2024-12
TXN00592,2024-12-10,2024-12
TXN00593,2024-08-17,2024-08
TXN00594,2024-05-20,2024-05
TXN00595,2024-04-15,2024-04
TXN00596,2024-01-28,2024-01
TXN00597,2024-11-12,2024-11
TXN00598,2024-10-04,2024-10
TXN00599,2024-11-28,2024-11
TXN00600,2024-03-23,2024-03
TXN00601,2024-10-29,2024-10
TXN00602,2024-08-26,2024-08
TXN00603,2024-06-13,2024-06
TXN00604,2024-07-19,2024-07
TXN00605,2024-08-02,2024-08
TXN00606,2024-03-18,2024-03
TXN00607,2024-08-23,2024-08
TXN00608,2024-04-23,2024-04
TXN00609,2024-10-15,2024-10
TXN00610,2024-01-10,2024-01
TXN00611,2024-04-03,2024-04
TXN00612,2024-08-19,2024-08
TXN00613,2024-11-14,2024-11
TXN00614,2024-10-18,2024-10
TXN00615,2024-02-10,2024-02
TXN00616,2024-08-17,2024-08
TXN00617,2024-09-18,2024-09
TXN00618,2024-01-08,2024-01
TXN00619,2024-03-01,2024-03
TXN00620,2024-02-07,2024-02
TXN00621,2024-10-15,2024-10
TXN00622,2024-05-03,2024-05
TXN00623,2024-03-05,2024-03
TXN00624,2024-06-13,2024-06
TXN00625,2024-01-26,2024-01
TXN00626,2024-12-23,2024-12
TXN00627,2024-07-19,2024-07
TXN00628,2024-07-03,2024-07
TXN00629,2024-10-01,2024-10
TXN00630,2024-06-01,2024-06
TXN00631,2024-11-19,2024-11
TXN00632,2024-06-26,2024-06
TXN00633,2024-05-12,2024-05
TXN00634,2024-06-29,2024-06
TXN00635,2024-09-28,2024-09
TXN00636,2024-12-16,2024-12
TXN00637,2024-08-19,2024-08
TXN00638,2024-09-01,2024-09
TXN00639,2024-10-19,2024-10
TXN00640,2024-02-09,2024-02
TXN00641,2024-11-15,2024-11
TXN00642,2024-09-22,2024-09
TXN00643,2024-04-15,2024-04
TXN00644,2024-02-22,2024-02
TXN00645,2024-07-10,2024-07
TXN00646,2024-09-02,2024-09
TXN00647,2025-01-07,2025-01
TXN00648,2024-04-24,2024-04
TXN00649,2024-10-03,2024-10
TXN00650,2024-04-17,2024-04
TXN00651,2024-09-17,2024-09
TXN00652,2024-07-29,2024-07
TXN00653,2024-09-09,2024-09
TXN00654,2024-12-28,2024-12
TXN00655,2024-02-25,2024-02
TXN00656,2024-12-12,2024-12
TXN00657,2024-10-12,2024-10
TXN00658,2024-07-13,2024-07
TXN00659,2024-10-30,2024-10
TXN00660,2024-05-04,2024-05
TXN00661,2024-02-06,2024-02
TXN00662,2024-02-19,2024-02
TXN00663,2024-02-20,2024-02
TXN00664,2024-06-20,2024-06
TXN00665,2024-02-16,2024-02
TXN00666,2024-11-25,2024-11
TXN00667,2024-02-16,2024-02
TXN00668,2024-02-14,2024-02
TXN00669,2024-08-14,2024-08
TXN00670,2024-06-27,2024-06
TXN00671,2024-02-02,2024-02
TXN00672,2024-05-31,2024-05
TXN00673,2024-04-13,2024-04
TXN00674,2024-02-23,2024-02
TXN00675,2024-02-18,2024-02
TXN00676,2024-12-22,2024-12
TXN00677,2024-11-22,2024-11
TXN00678,2024-04-19,2024-04
TXN00679,2024-03-09,2024-03
TXN00680,2024-09-14,2024-09
TXN00681,2024-03-11,2024-03
TXN00682,2025-01-02,2025-01
TXN00683,2024-01-31,2024-01
TXN00684,2024-11-27,2024-11
TXN00685,2024-10-28,2024-10
TXN00686,2024-09-24,2024-09
TXN00687,2024-11-20,2024-11
TXN00688,2024-01-08,2024-01
TXN00689,2024-02-01,2024-02
TXN00690,2024-10-11,2024-10
TXN00691,2024-06-11,2024-06
TXN00692,2024-12-16,2024-12
TXN00693,2024-06-07,2024-06
TXN00694,2024-08-14,2024-08
TXN00695,2024-08-09,2024-08
TXN00696,2024-04-04,2024-04
TXN00697,2024-09-12,2024-09
TXN00698,2024-04-03,2024-04
TXN00699,2024-02-23,2024-02
TXN00700,2024-10-29,2024-10
TXN00701,2024-06-05,2024-06
TXN00702,2024-11-13,2024-11
TXN00703,2024-03-17,2024-03
TXN00704,2024-04-13,2024-04
TXN00705,2024-06-24,2024-06
TXN00706,2024-06-08,2024-06
TXN00707,2024-11-22,2024-11
TXN00708,2024-03-16,2024-03
TXN00709,2024-06-19,2024-06
TXN00710,2024-07-31,2024-07
TXN00711,2024-02-01,2024-02
TXN00712,2024-08-05,2024-08
TXN00713,2024-09-19,2024-09
TXN00714,2024-01-17,2024-01
TXN00715,2024-02-26,2024-02
TXN00716,2024-11-30,2024-11
TXN00717,2024-08-28,2024-08
TXN00718,2024-08-22,2024-08
TXN00719,2024-01-08,2024-01
TXN00720,2024-11-23,2024-11
TXN00721,2024-10-07,2024-10
TXN00722,2024-06-19,2024-06
TXN00723,2024-08-10,2024-08
TXN00724,2024-05-29,2024-05
TXN00725,2024-04-19,2024-04
TXN00726,2024-03-19,2024-03
TXN00727,2024-10-04,2024-10
TXN00728,2024-12-15,2024-12
TXN00729,2024-10-25,2024-10
TXN00730,2024-02-19,2024-02
TXN00731,2024-10-15,2024-10
TXN00732,2024-02-16,2024-02
TXN00733,2024-05-10,2024-05
TXN00734,2024-05-02,2024-05
TXN00735,2024-08-05,2024-08
TXN00736,2025-01-06,2025-01
TXN00737,2024-03-13,2024-03
TXN00738,2024-10-29,2024-10
TXN00739,2024-04-06,2024-04
TXN00740,2024-04-20,2024-04
TXN00741,2024-09-21,2024-09
TXN00742,2024-08-17,2024-08
TXN00743,2024-09-07,2024-09
TXN00744,2024-03-19,2024-03
TXN00745,2024-10-19,2024-10
TXN00746,2024-03-01,2024-03
TXN00747,2024-08-11,2024-08
TXN00748,2024-01-23,2024-01
TXN00749,2024-01-24,2024-01
TXN00750,2024-10-07,2024-10
TXN00751,2024-03-03,2024-03
TXN00752,2024-07-24,2024-07
TXN00753,2024-09-09,2024-09
TXN00754,2024-01-11,2024-01
TXN00755,2024-06-05,2024-06
TXN00756,2024-03-23,2024-03
TXN00757,2024-11-28,2024-11
TXN00758,2024-04-24,2024-04
TXN00759,2024-07-05,2024-07
TXN00760,2024-05-28,2024-05
TXN00761,2024-06-14,2024-06
TXN00762,2024-09-15,2024-09
TXN00763,2024-11-11,2024-11
TXN00764,2024-07-15,2024-07
TXN00765,2024-04-09,2024-04
TXN00766,2024-11-18,2024-11
TXN00767,2024-12-13,2024-12
TXN00768,2024-05-25,2024-05
TXN00769,2024-12-23,2024-12
TXN00770,2024-07-13,2024-07
TXN00771,2024-11-06,2024-11
TXN00772,2024-11-05,2024-11
TXN00773,2024-05-28,2024-05
TXN00774,2024-04-03,2024-04
TXN00775,2024-12-01,2024-12
