Transaction_ID,Transaction_Type
TXN00498,Credit
TXN00499,Debit
TXN00500,Refund
TXN00501,Debit
TXN00502,Credit
TXN00503,Debit
TXN00504,Credit
TXN00505,Debit
TXN00506,Debit
TXN00507,Credit
TXN00508,Credit
TXN00509,Credit
TXN00510,Debit
TXN00511,Debit
TXN00512,Debit
TXN00513,Refund
TXN00514,Debit
TXN00515,Credit
TXN00516,Credit
TXN00517,Credit
TXN00518,Debit
TXN00519,Credit
TXN00520,Credit
TXN00521,Refund
TXN00522,Refund
TXN00523,Credit
TXN00524,Refund
TXN00525,Refund
TXN00526,Credit
TXN00527,Debit
TXN00528,Debit
TXN00529,Credit
TXN00530,Debit
TXN00531,Refund
TXN00532,Credit
TXN00533,Debit
TXN00534,Debit
TXN00535,Refund
TXN00536,Credit
TXN00537,Credit
TXN00538,Refund
TXN00539,Credit
TXN00540,Credit
TXN00541,Refund
TXN00542,Refund
TXN00543,Debit
TXN00544,Credit
TXN00545,Refund
TXN00546,Debit
TXN00547,Credit
TXN00548,Debit
TXN00549,Refund
TXN00550,Credit
TXN00551,Debit
TXN00552,Refund
TXN00553,Refund
TXN00554,Refund
TXN00555,Refund
TXN00556,Refund
TXN00557,Refund
TXN00558,Refund
TXN00559,Debit
TXN00560,Credit
TXN00561,Credit
TXN00562,Debit
TXN00563,Refund
TXN00564,Credit
TXN00565,Refund
TXN00566,Credit
TXN00567,Refund
TXN00568,Debit
TXN00569,Refund
TXN00570,Credit
TXN00571,Refund
TXN00572,Credit
TXN00573,Refund
TXN00574,Credit
TXN00575,Credit
TXN00576,Credit
TXN00577,Refund
TXN00578,Credit
TXN00579,Refund
TXN00580,Debit
TXN00581,Debit
TXN00582,Credit
TXN00583,Refund
TXN00584,Credit
TXN00585,Refund
TXN00586,Refund
TXN00587,Debit
TXN00588,Refund
TXN00589,Refund
TXN00590,Credit
TXN00591,Credit
TXN00592,Refund
TXN00593,Debit
TXN00594,Credit
TXN00595,Credit
TXN00596,Debit
TXN00597,Credit
TXN00598,Refund
TXN00599,Refund
TXN00600,Refund
TXN00601,Credit
TXN00602,Credit
TXN00603,Credit
TXN00604,Credit
TXN00605,Refund
TXN00606,Debit
TXN00607,Refund
TXN00608,Credit
TXN00609,Refund
TXN00610,Debit
TXN00611,Refund
TXN00612,Debit
TXN00613,Credit
TXN00614,Refund
TXN00615,Refund
TXN00616,Refund
TXN00617,Refund
TXN00618,Credit
TXN00619,Debit
TXN00620,Debit
TXN00621,Refund
TXN00622,Credit
TXN00623,Debit
TXN00624,Debit
TXN00625,Debit
TXN00626,Debit
TXN00627,Debit
TXN00628,Debit
TXN00629,Credit
TXN00630,Refund
TXN00631,Debit
TXN00632,Credit
TXN00633,Credit
TXN00634,Refund
TXN00635,Refund
TXN00636,Debit
TXN00637,Refund
TXN00638,Refund
TXN00639,Credit
TXN00640,Credit
TXN00641,Credit
TXN00642,Debit
TXN00643,Debit
TXN00644,Refund
TXN00645,Refund
TXN00646,Debit
TXN00647,Debit
TXN00648,Credit
TXN00649,Debit
TXN00650,Debit
TXN00651,Refund
TXN00652,Refund
TXN00653,Credit
TXN00654,Debit
TXN00655,Refund
TXN00656,Debit
TXN00657,Debit
TXN00658,Credit
TXN00659,Debit
TXN00660,Credit
TXN00661,Refund
TXN00662,Refund
TXN00663,Refund
TXN00664,Refund
TXN00665,Credit
TXN00666,Credit
TXN00667,Refund
TXN00668,Refund
TXN00669,Refund
TXN00670,Credit
TXN00671,Refund
TXN00672,Credit
TXN00673,Debit
TXN00674,Refund
TXN00675,Credit
TXN00676,Credit
TXN00677,Credit
TXN00678,Debit
TXN00679,Refund
TXN00680,Credit
TXN00681,Refund
TXN00682,Credit
TXN00683,Refund
TXN00684,Debit
TXN00685,Credit
TXN00686,Credit
TXN00687,Debit
TXN00688,Refund
TXN00689,Credit
TXN00690,Debit
TXN00691,Credit
TXN00692,Credit
TXN00693,Credit
TXN00694,Refund
TXN00695,Debit
TXN00696,Debit
TXN00697,Debit
TXN00698,Debit
TXN00699,Credit
TXN00700,Refund
TXN00701,Debit
TXN00702,Refund
TXN00703,Debit
TXN00704,Debit
TXN00705,Credit
TXN00706,Credit
TXN00707,Credit
TXN00708,Refund
TXN00709,Credit
TXN00710,Credit
TXN00711,Debit
TXN00712,Debit
TXN00713,Credit
TXN00714,Credit
TXN00715,Refund
TXN00716,Refund
TXN00717,Debit
TXN00718,Refund
TXN00719,Credit
TXN00720,Credit
TXN00721,Debit
TXN00722,Credit
TXN00723,Credit
TXN00724,Credit
TXN00725,Credit
TXN00726,Refund
TXN00727,Refund
TXN00728,Refund
TXN00729,Refund
TXN00730,Refund
TXN00731,Debit
TXN00732,Credit
TXN00733,Debit
TXN00734,Credit
TXN00735,Credit
TXN00736,Credit
TXN00737,Debit
TXN00738,Credit
TXN00739,Credit
TXN00740,Refund
TXN00741,Refund
TXN00742,Credit
TXN00743,Refund
TXN00744,Debit
TXN00745,Credit
TXN00746,Debit
TXN00747,Refund
TXN00748,Refund
TXN00749,Debit
TXN00750,Credit
TXN00751,Refund
TXN00752,Refund
TXN00753,Refund
TXN00754,Debit
TXN00755,Debit
TXN00756,Refund
TXN00757,Credit
TXN00758,Debit
TXN00759,Credit
TXN00760,Debit
TXN00761,Debit
TXN00762,Credit
TXN00763,Credit
TXN00764,Credit
TXN00765,Debit
TXN00766,Credit
TXN00767,Credit
TXN00768,Credit
TXN00769,Credit
TXN00770,Credit
TXN00771,Credit
TXN00772,Credit
TXN00773,Debit
TXN00774,Credit
TXN00775,Debit
TXN00776,Refund
TXN00777,Refund
TXN00778,Debit
TXN00779,Credit
TXN00780,Debit
TXN00781,Refund
TXN00782,Debit
TXN00783,Refund
TXN00784,Debit
TXN00785,Debit
TXN00786,Debit
TXN00787,Debit
TXN00788,Debit
TXN00789,Refund
TXN00790,Debit
TXN00791,Debit
TXN00792,Debit
TXN00793,Credit
TXN00794,Refund
TXN00795,Debit
TXN00796,Refund
TXN00797,Debit
TXN00798,Credit
TXN00799,Refund
TXN00800,Credit
TXN00801,Credit
TXN00802,Debit
TXN00803,Refund
TXN00804,Refund
TXN00805,Refund
TXN00806,Refund
TXN00807,Debit
TXN00808,Debit
TXN00809,Credit
TXN00810,Debit
TXN00811,Refund
TXN00812,Debit
TXN00813,Credit
TXN00814,Refund
TXN00815,Refund
TXN00816,Credit
TXN00817,Credit
TXN00818,Refund
TXN00819,Debit
TXN00820,Debit
TXN00821,Refund
TXN00822,Refund
TXN00823,Refund
TXN00824,Debit
TXN00825,Debit
TXN00826,Refund
TXN00827,Credit
TXN00828,Refund
TXN00829,Refund
TXN00830,Debit
TXN00831,Refund
TXN00832,Debit
TXN00833,Credit
TXN00834,Refund
TXN00835,Credit
TXN00836,Refund
TXN00837,Credit
TXN00838,Debit
TXN00839,Refund
TXN00840,Refund
TXN00841,Credit
TXN00842,Debit
TXN00843,Credit
TXN00844,Credit
TXN00845,Debit
TXN00846,Credit
TXN00847,Credit
TXN00848,Refund
TXN00849,Credit
TXN00850,Refund
TXN00851,Debit
TXN00852,Credit
TXN00853,Debit
TXN00854,Refund
TXN00855,Refund
TXN00856,Refund
TXN00857,Credit
TXN00858,Refund
TXN00859,Refund
TXN00860,Credit
TXN00861,Credit
TXN00862,Credit
TXN00863,Refund
TXN00864,Refund
TXN00865,Credit
TXN00866,Credit
TXN00867,Debit
TXN00868,Debit
TXN00869,Credit
TXN00870,Credit
TXN00871,Debit
TXN00872,Credit
TXN00873,Refund
TXN00874,Refund
TXN00875,Refund
TXN00876,Credit
TXN00877,Credit
TXN00878,Debit
TXN00879,Credit
TXN00880,Credit
TXN00881,Debit
TXN00882,Credit
TXN00883,Debit
TXN00884,Credit
TXN00885,Credit
TXN00886,Credit
TXN00887,Credit
TXN00888,Refund
TXN00889,Refund
TXN00890,Credit
TXN00891,Refund
TXN00892,Debit
TXN00893,Refund
TXN00894,Debit
TXN00895,Debit
TXN00896,Debit
TXN00897,Refund
TXN00898,Credit
TXN00899,Credit
TXN00900,Refund
TXN00901,Debit
TXN00902,Refund
TXN00903,Credit
TXN00904,Refund
TXN00905,Refund
TXN00906,Credit
TXN00907,Credit
TXN00908,Debit
TXN00909,Debit
TXN00910,Credit
TXN00911,Debit
TXN00912,Credit
TXN00913,Refund
TXN00914,Debit
TXN00915,Credit
TXN00916,Refund
TXN00917,Refund
TXN00918,Credit
TXN00919,Credit
TXN00920,Refund
TXN00921,Refund
TXN00922,Credit
TXN00923,Credit
TXN00924,Refund
TXN00925,Refund
TXN00926,Credit
TXN00927,Credit
TXN00928,Refund
TXN00929,Credit
TXN00930,Credit
TXN00931,Credit
TXN00932,Credit
TXN00933,Debit
TXN00934,Debit
TXN00935,Refund
TXN00936,Debit
TXN00937,Credit
TXN00938,Debit
TXN00939,Refund
TXN00940,Refund
TXN00941,Refund
TXN00942,Debit
TXN00943,Debit
TXN00944,Debit
TXN00945,Refund
TXN00946,Credit
TXN00947,Credit
TXN00948,Refund
TXN00949,Refund
TXN00950,Refund
TXN00951,Refund
TXN00952,Credit
TXN00953,Debit
TXN00954,Debit
TXN00955,Credit
TXN00956,Debit
TXN00957,Credit
TXN00958,Debit
TXN00959,Credit
TXN00960,Debit
TXN00961,Refund
TXN00962,Refund
TXN00963,Debit
TXN00964,Credit
TXN00965,Debit
TXN00966,Debit
TXN00967,Refund
TXN00968,Credit
TXN00969,Refund
TXN00970,Debit
TXN00971,Refund
TXN00972,Credit
TXN00973,Debit
TXN00974,Debit
TXN00975,Refund
TXN00976,Credit
TXN00977,Credit
TXN00978,Credit
TXN00979,Credit
TXN00980,Credit
TXN00981,Debit
TXN00982,Debit
TXN00983,Credit
TXN00984,Credit
TXN00985,Debit
TXN00986,Debit
TXN00987,Credit
TXN00988,Credit
TXN00989,Debit
TXN00990,Refund
TXN00991,Refund
TXN00992,Refund
TXN00993,Debit
TXN00994,Debit
TXN00995,Debit
TXN00996,Refund
TXN00997,Credit
TXN00998,Debit
TXN00999,Debit
TXN01000,Debit
TXN01001,Refund
TXN01002,Credit
TXN01003,Refund
TXN01004,Refund
TXN01005,Refund
TXN01006,Debit
TXN01007,Refund
TXN01008,Credit
TXN01009,Credit
TXN01010,Credit
TXN01011,Credit
TXN01012,Refund
TXN01013,Credit
TXN01014,Credit
TXN01015,Refund
TXN01016,Refund
TXN01017,Debit
TXN01018,Refund
TXN01019,Refund
TXN01020,Debit
TXN01021,Debit
TXN01022,Refund
TXN01023,Debit
TXN01024,Credit
TXN01025,Refund
TXN01026,Debit
TXN01027,Debit
TXN01028,Debit
TXN01029,Debit
TXN01030,Refund
TXN01031,Debit
TXN01032,Debit
TXN01033,Debit
TXN01034,Credit
TXN01035,Credit
TXN01036,Refund
TXN01037,Refund
TXN01038,Credit
TXN01039,Credit
TXN01040,Debit
TXN01041,Debit
TXN01042,Credit
TXN01043,Refund
TXN01044,Credit
TXN01045,Refund
TXN01046,Credit
TXN01047,Debit
TXN01048,Refund
TXN01049,Debit
TXN01050,Credit
TXN01051,Refund
TXN01052,Refund
TXN01053,Refund
TXN01054,Debit
TXN01055,Credit
TXN01056,Debit
TXN01057,Refund
TXN01058,Debit
TXN01059,Refund
TXN01060,Debit
TXN01061,Credit
TXN01062,Debit
TXN01063,Debit
TXN01064,Debit
TXN01065,Debit
TXN01066,Credit
TXN01067,Refund
TXN01068,Refund
TXN01069,Refund
TXN01070,Credit
TXN01071,Credit
TXN01072,Debit
TXN01073,Credit
TXN01074,Refund
TXN01075,Credit
TXN01076,Refund
TXN01077,Credit
TXN01078,Credit
TXN01079,Refund
TXN01080,Refund
TXN01081,Credit
TXN01082,Credit
TXN01083,Debit
TXN01084,Refund
TXN01085,Debit
TXN01086,Credit
TXN01087,Refund
TXN01088,Credit
TXN01089,Refund
TXN01090,Credit
TXN01091,Debit
TXN01092,Debit
TXN01093,Debit
TXN01094,Refund
TXN01095,Refund
TXN01096,Refund
TXN01097,Debit
TXN01098,Refund
TXN01099,Credit
TXN01100,Refund
TXN01101,Debit
TXN01102,Debit
TXN01103,Credit
TXN01104,Refund
TXN01105,Refund
TXN01106,Credit
TXN01107,Credit
TXN01108,Debit
TXN01109,Refund
TXN01110,Credit
TXN01111,Refund
TXN01112,Credit
TXN01113,Debit
TXN01114,Credit
TXN01115,Credit
TXN01116,Credit
TXN01117,Credit
TXN01118,Credit
TXN01119,Refund
TXN01120,Debit
TXN01121,Debit
TXN01122,Credit
TXN01123,Credit
TXN01124,Refund
TXN01125,Credit
TXN01126,Credit
TXN01127,Refund
TXN01128,Credit
TXN01129,Refund
TXN01130,Debit
TXN01131,Credit
TXN01132,Debit
TXN01133,Credit
TXN01134,Credit
TXN01135,Credit
TXN01136,Debit
TXN01137,Credit
TXN01138,Refund
TXN01139,Debit
TXN01140,Refund
TXN01141,Refund
TXN01142,Credit
TXN01143,Credit
TXN01144,Debit
TXN01145,Debit
TXN01146,Refund
TXN01147,Credit
TXN01148,Refund
TXN01149,Credit
TXN01150,Refund
TXN01151,Credit
TXN01152,Debit
TXN01153,Debit
TXN01154,Credit
TXN01155,Refund
TXN01156,Debit
TXN01157,Credit
TXN01158,Credit
TXN01159,Refund
TXN01160,Credit
TXN01161,Debit
TXN01162,Debit
TXN01163,Refund
TXN01164,Refund
TXN01165,Debit
TXN01166,Refund
TXN01167,Debit
TXN01168,Credit
TXN01169,Refund
TXN01170,Debit
TXN01171,Refund
TXN01172,Credit
TXN01173,Debit
TXN01174,Debit
TXN01175,Debit
TXN01176,Credit
TXN01177,Debit
TXN01178,Refund
TXN01179,Debit
TXN01180,Credit
TXN01181,Refund
TXN01182,Credit
TXN01183,Refund
TXN01184,Refund
TXN01185,Credit
TXN01186,Credit
TXN01187,Credit
TXN01188,Credit
TXN01189,Debit
TXN01190,Credit
TXN01191,Refund
TXN01192,Debit
TXN01193,Credit
TXN01194,Debit
TXN01195,Refund
TXN01196,Refund
TXN01197,Refund
TXN01198,Debit
TXN01199,Debit
TXN01200,Credit
TXN01201,Credit
TXN01202,Credit
TXN01203,Refund
TXN01204,Credit
TXN01205,Debit
TXN01206,Credit
TXN01207,Refund
TXN01208,Credit
TXN01209,Refund
TXN01210,Refund
TXN01211,Refund
TXN01212,Credit
TXN01213,Debit
TXN01214,Credit
TXN01215,Refund
TXN01216,Credit
TXN01217,Credit
TXN01218,Credit
TXN01219,Refund
TXN01220,Refund
TXN01221,Credit
TXN01222,Credit
TXN01223,Credit
TXN01224,Debit
TXN01225,Refund
TXN01226,Debit
TXN01227,Refund
TXN01228,Credit
TXN01229,Debit
TXN01230,Credit
TXN01231,Debit
TXN01232,Credit
TXN01233,Refund
TXN01234,Credit
TXN01235,Refund
TXN01236,Credit
TXN01237,Credit
TXN01238,Refund
TXN01239,Refund
TXN01240,Debit
TXN01241,Credit
TXN01242,Debit
TXN01243,Debit
TXN01244,Refund
TXN01245,Refund
TXN01246,Credit
TXN01247,Debit
TXN01248,Credit
TXN01249,Debit
TXN01250,Refund
TXN01251,Credit
TXN01252,Debit
TXN01253,Refund
TXN01254,Debit
TXN01255,Credit
TXN01256,Refund
TXN01257,Debit
TXN01258,Debit
TXN01259,Credit
TXN01260,Credit
TXN01261,Credit
TXN01262,Refund
TXN01263,Refund
TXN01264,Credit
TXN01265,Refund
TXN01266,Debit
TXN01267,Credit
TXN01268,Refund
TXN01269,Refund
TXN01270,Credit
TXN01271,Credit
TXN01272,Refund
TXN01273,Refund
TXN01274,Credit
TXN01275,Refund
TXN01276,Debit
TXN01277,Refund
TXN01278,Debit
TXN01279,Debit
TXN01280,Refund
TXN01281,Refund
TXN01282,Credit
TXN01283,Debit
TXN01284,Refund
TXN01285,Debit
TXN01286,Credit
TXN01287,Debit
TXN01288,Refund
TXN01289,Refund
TXN01290,Debit
TXN01291,Credit
TXN01292,Debit
TXN01293,Refund
TXN01294,Credit
TXN01295,Debit
TXN01296,Debit
TXN01297,Credit
TXN01298,Debit
TXN01299,Credit
TXN01300,Credit
TXN01301,Credit
TXN01302,Credit
TXN01303,Debit
TXN01304,Debit
TXN01305,Refund
TXN01306,Credit
TXN01307,Refund
TXN01308,Refund
TXN01309,Debit
TXN01310,Debit
TXN01311,Debit
TXN01312,Debit
TXN01313,Refund
TXN01314,Credit
TXN01315,Refund
TXN01316,Refund
TXN01317,Debit
TXN01318,Credit
TXN01319,Refund
TXN01320,Debit
TXN01321,Debit
TXN01322,Credit
TXN01323,Refund
TXN01324,Credit
TXN01325,Credit
TXN01326,Credit
TXN01327,Refund
TXN01328,Debit
TXN01329,Credit
TXN01330,Credit
TXN01331,Refund
TXN01332,Refund
TXN01333,Debit
TXN01334,Debit
TXN01335,Credit
TXN01336,Credit
TXN01337,Refund
TXN01338,Credit
TXN01339,Refund
TXN01340,Credit
TXN01341,Refund
TXN01342,Credit
TXN01343,Credit
TXN01344,Credit
TXN01345,Debit
TXN01346,Credit
TXN01347,Credit
TXN01348,Debit
TXN01349,Debit
TXN01350,Credit
TXN01351,Refund
TXN01352,Credit
TXN01353,Refund
TXN01354,Credit
TXN01355,Refund
TXN01356,Credit
TXN01357,Debit
TXN01358,Refund
TXN01359,Credit
TXN01360,Credit
TXN01361,Debit
TXN01362,Refund
TXN01363,Refund
TXN01364,Refund
TXN01365,Debit
TXN01366,Refund
TXN01367,Refund
TXN01368,Credit
TXN01369,Credit
TXN01370,Debit
TXN01371,Refund
TXN01372,Credit
TXN01373,Debit
TXN01374,Refund
TXN01375,Debit
TXN01376,Refund
TXN01377,Credit
TXN01378,Refund
TXN01379,Refund
TXN01380,Refund
TXN01381,Refund
TXN01382,Debit
TXN01383,Refund
TXN01384,Debit
TXN01385,Refund
TXN01386,Refund
TXN01387,Debit
TXN01388,Credit
TXN01389,Credit
TXN01390,Debit
TXN01391,Refund
TXN01392,Credit
TXN01393,Refund
TXN01394,Debit
TXN01395,Debit
TXN01396,Credit
